talk_page_id	talk_revision_id	talk_page_title	talk_is_archive	art_page_id	art_revision_id	art_is_redirect	importance_rating
5093016	785902833	Abortion	0	765	786046452	0	Top
2013	786044969	Addiction	0	27158894	786355027	0	Top
211044	784512211	Alcoholism	0	2965	783687092	0	Top
58836	785317033	Allergy	0	55313	785317026	0	Top
18914041	786385679	Alzheimer's_disease	0	18914017	784815174	0	Top
2411135	732636132	Anaphylaxis	0	74240	786307425	0	Top
7822269	744500880	Antimicrobial	0	965323	785995305	0	Top
362838	752966525	Antiseptic	0	65555	785279230	0	Top
299603	784123731	Anxiety_disorder	0	57688	785171492	0	Top
301186	785317064	Asthma	0	44905	785317060	0	Top
65243	783418060	Attention_deficit_hyperactivity_disorder	0	64976	786257135	0	Top
3872	781239572	Bacteria	0	9028799	782612100	0	Top
4894	786465567	Bipolar_disorder	0	4531	786465459	0	Top
18978748	781858948	Birth_control	0	18978770	786024006	0	Top
2736148	758375871	Bone_fracture	0	839943	784755877	0	Top
271090	777594144	Breast_cancer	0	70547	786253347	0	Top
19347042	781265898	Breastfeeding	0	19347033	784529342	0	Top
241432	756843380	Burn	0	233082	786214750	0	Top
21009840	777261463	Cancer	0	105219	785591486	0	Top
1801955	752428620	Cardiovascular_disease	0	512662	784528352	0	Top
804855	756187781	Cataract	0	88931	786257141	0	Top
1209984	767901679	Cervical_cancer	0	53338	786253366	0	Top
3857297	780598941	Chronic_obstructive_pulmonary_disease	0	30206738	783716889	0	Top
21365781	736706616	Cirrhosis	0	21365918	785083932	0	Top
2401937	775160910	Colorectal_cancer	0	206979	786253427	0	Top
19375687	785317362	Common_cold	0	92693	785317359	0	Top
8483405	733436703	Croup	0	310898	785420550	0	Top
45496	771179648	Death	0	8221	785324479	0	Top
323194	785346148	Dementia	0	38390	786340571	0	Top
298068	776530608	Dengue_fever	0	39669	783271246	0	Top
300270	785523867	Diabetes_mellitus	0	40017873	786324176	0	Top
513662	784120518	Diabetes_mellitus_type_2	0	154502	784202281	0	Top
18543236	785316904	Disease	0	8072	786283235	0	Top
2924377	776198012	Drug	0	9311172	785366297	0	Top
63389	770725092	Epilepsy	0	10511	784401996	0	Top
1692480	777328011	Fever	0	46253	783867953	0	Top
1539627	785317644	Gastroenteritis	0	869123	785901165	0	Top
336751	781928084	Gout	0	55584	782657279	0	Top
669764	785526613	Health	0	80381	785993004	0	Top
988486	772224556	Health_care	0	261925	786399600	0	Top
3941933	773680371	Health_effects_of_tobacco	0	3585815	785121735	0	Top
1369099	749588035	Hearing_loss	0	49604	786291719	0	Top
1257577	777240560	Hemorrhoid	0	173652	780743340	0	Top
366672	765449999	Hepatitis	0	38238	785792461	0	Top
498331	784570538	Hepatitis_B	0	15925628	783006889	0	Top
457328	777144320	Hepatitis_C	0	71491	786380214	0	Top
2066	785318102	HIV/AIDS	0	5069516	785318099	0	Top
1129064	786215912	Hypercholesterolemia	0	513039	781859905	0	Top
748631	784518833	Hypertension	0	77432	785170493	0	Top
1694458	735287774	Infection	0	37220	781856092	0	Top
19572176	785317750	Influenza	0	19572217	786027172	0	Top
12284397	744845888	Liver_cancer	0	12284396	786253816	0	Top
21102645	782208904	Long-term_effects_of_alcohol_consumption	0	337566	783519584	0	Top
1498773	780593920	Low_back_pain	0	618631	785649556	0	Top
18636	756812346	Lung_cancer	0	18450	785232814	0	Top
9049	785340155	Major_depressive_disorder	0	8389	785317997	0	Top
3383776	783049619	Major_trauma	0	788093	785131231	0	Top
100965	785317837	Malaria	0	20423	785570867	0	Top
5445844	785318980	Malnutrition	0	258979	786253888	0	Top
21090864	783866779	Medicine	0	18957	784955348	0	Top
21010056	781307233	Meningitis	0	21009963	784556894	0	Top
339070	785346362	Mental_disorder	0	19356	785317934	0	Top
470602	785007151	Migraine	0	21035	785007145	0	Top
21090518	784992280	Multiple_sclerosis	0	50603	786253939	0	Top
19916715	784102329	Myocardial_infarction	0	20556798	786439258	0	Top
1063420	766262262	Near-sightedness	0	88042	783672245	0	Top
21090993	785371544	Obesity	0	56435	785858618	0	Top
1178728	758369459	Osteoarthritis	0	504841	786257235	0	Top
98354	781921133	Pain	0	24373	786201469	0	Top
21010261	781358258	Parkinson's_disease	0	22228064	786254187	0	Top
1031468	777784680	Pharmaceutical_drug	0	180121	785397613	0	Top
807958	781508350	Physical_exercise	0	189037	786484428	0	Top
84794	754736474	Physician	0	23315	772070008	0	Top
985611	785350713	Pneumonia	0	52135	785909404	0	Top
21402352	785326640	Pregnancy	0	1771587	786216146	0	Top
88083	785920799	Prostate_cancer	0	88078	783874329	0	Top
5415184	732525654	Refractive_error	0	866988	784349857	0	Top
270231	758090057	Sanitation	0	184729	785319364	0	Top
27792	785448658	Schizophrenia	0	27790	785879442	0	Top
707107	781825870	Sepsis	0	158400	785849841	0	Top
11504929	785930776	Sexually_transmitted_infection	0	19019270	786256816	0	Top
1133177	718190225	Skin_cancer	0	64993	786256827	0	Top
336246	781846420	Stomach_cancer	0	261613	786256860	0	Top
78829	776027853	Stroke	0	625404	785950423	0	Top
19559217	779297641	Suicide	0	16831059	785308902	0	Top
148258	785318785	Surgery	0	45599	786499445	0	Top
940591	757916951	Tooth_decay	0	414350	786371756	0	Top
31219	785318327	Tuberculosis	0	30653	786267639	0	Top
437209	749980718	Urinary_tract_infection	0	32161	781915667	0	Top
32474	749916522	Vaccination	0	32473	784900310	0	Top
