talk_page_id	talk_revision_id	talk_page_title	article_page_id	article_revision_id	rating	is_training	num_inlinks	num_views
722	766912085	Animal	11039790	767720556	Top	1	233242	8130.0
1326	750969164	Aircraft	849	768670990	Top	1	2715	1390.6785714285713
1411	751664480	Amino_acid	1207	768712731	Top	1	3751	5537.857142857143
3853	767964224	Baseball	3850	768870028	Top	1	23072	3731.1428571428573
3872	745732283	Bacteria	9028799	764040903	Top	1	8042	4194.607142857143
4244	767735599	Basketball	3921	768714246	Top	0	37421	9059.0
4470	767660299	Brand	18950900	768898894	Top	1	3111	1546.892857142857
4713	738878101	Books_of_the_Bible	3796	768584043	Top	0	551	2679.535714285714
5204	768756838	Canada	5042916	768815544	Top	1	164221	23969.285714285714
5383	734150385	Physical_cosmology	5378	767820528	Top	0	611	435.0
5740	762330905	Compiler	5739	768504630	Top	1	1472	1527.5357142857142
6075	767357670	Color	5921	766350427	Top	1	1348	2739.3928571428573
6129	738167964	Copenhagen_interpretation	5863	766549864	Top	1	225	659.25
6795	751914781	Comet	5962	768069780	Top	1	5409	2372.1428571428573
6853	751727871	Cola	7491	768294623	Top	1	341	732.7142857142857
7600	763996091	Catharism	7630	767944907	Top	0	468	1100.25
8115	753576127	Data_compression	8013	768856042	Top	0	1051	1062.607142857143
8621	707182528	Diffraction	8603	767465242	Top	0	576	1552.75
9345	755753282	Ecuador	9334	768898111	Top	0	24295	4392.5
9396	762620837	Estonia	28222445	768941393	Top	1	24599	5979.0
9539	764026981	Encyclopedia	9253	768698795	Top	0	1060	3851.964285714286
9634	752027470	E_(mathematical_constant)	9633	768385217	Top	1	321	3793.6785714285716
9889	768463650	England	9316	768973691	Top	0	154183	12080.464285714286
10215	764598834	Enzyme	9257	768104583	Top	1	12781	3521.5714285714284
10379	766554397	Evangelicalism	10370	768820478	Top	1	3668	2445.785714285714
10684	765079892	Folk_music	10623	767757018	Top	1	14642	1837.2857142857142
10944	758188076	Formula_One	10854	768541789	Top	0	7571	3201.714285714286
11395	757635769	Four_Noble_Truths	11393	768425947	Top	1	2218	2091.964285714286
