talk_page_id	talk_revision_id	talk_page_title	article_page_id	article_revision_id	rating	is_training
722	766912085	Animal	11039790	767720556	Top	1
1326	750969164	Aircraft	849	768670990	Top	1
1411	751664480	Amino_acid	1207	768712731	Top	1
3853	767964224	Baseball	3850	768870028	Top	1
3872	745732283	Bacteria	9028799	764040903	Top	1
4244	767735599	Basketball	3921	768714246	Top	0
4470	767660299	Brand	18950900	768898894	Top	1
4713	738878101	Books_of_the_Bible	3796	768584043	Top	0
5204	768756838	Canada	5042916	768815544	Top	1
5383	734150385	Physical_cosmology	5378	767820528	Top	0
5740	762330905	Compiler	5739	768504630	Top	1
6075	767357670	Color	5921	766350427	Top	1
6129	738167964	Copenhagen_interpretation	5863	766549864	Top	1
6795	751914781	Comet	5962	768069780	Top	1
6853	751727871	Cola	7491	768294623	Top	1
7600	763996091	Catharism	7630	767944907	Top	0
8115	753576127	Data_compression	8013	768856042	Top	0
8621	707182528	Diffraction	8603	767465242	Top	0
9345	755753282	Ecuador	9334	768898111	Top	0
9396	762620837	Estonia	28222445	768941393	Top	1
9539	764026981	Encyclopedia	9253	768698795	Top	0
9634	752027470	E_(mathematical_constant)	9633	768385217	Top	1
9889	768463650	England	9316	768973691	Top	0
10215	764598834	Enzyme	9257	768104583	Top	1
10379	766554397	Evangelicalism	10370	768820478	Top	1
10684	765079892	Folk_music	10623	767757018	Top	1
10944	758188076	Formula_One	10854	768541789	Top	0
11395	757635769	Four_Noble_Truths	11393	768425947	Top	1
11419	763125860	Ferrari	11225	768825520	Top	1
11533	758527468	Freemasonry	11227	764592337	Top	0
12022	761754278	Greek_alphabet	715909	765701512	Top	1
12723	760156160	Genetic_code	12385	768975430	Top	1
13128	767560211	Glass	12581	767872078	Top	1
13759	688642814	History_of_physics	13758	767660082	Top	1
15914	762239851	Judaism	15624	768939426	Top	0
16084	762728292	Society_of_Jesus	16083	768961683	Top	1
17343	741779445	Kalahari_Desert	17165	768148482	Top	1
17540	579844354	Linnaean_taxonomy	17539	764689146	Top	0
17916	768413053	Led_Zeppelin	17909	768933109	Top	1
18833	767044769	Mathematics	18831	768433571	Top	1
19663	688642494	Molecular_orbital	19614	760353905	Top	1
19744	756595202	Maxwell's_equations	19737	768594830	Top	1
19884	746909542	Mineralogy	19883	764884019	Top	1
20562	747199267	Mandarin_Chinese	19359	768395408	Top	0
20917	730502916	Manga	18985	768722167	Top	1
21208	762545005	Nobel_Prize	21201	767899004	Top	1
21372	766983058	Nicaragua	21362	768882385	Top	1
21420	768821815	Norway	21241	768720288	Top	1
21510	758488069	New_Testament	21433	767353384	Top	1
22470	767964894	Oxygen	22303	767814249	Top	1
22601	747067859	O_Canada	22504	767798899	Top	1
23182	763753247	Poker	23014	768974691	Top	1
23518	734814739	Paleontology	23084	768741213	Top	1
23753	764391149	Polish_language	22975	766404271	Top	1
24173	660502286	Philosophy_of_religion	23003	763413965	Top	1
24404	730746160	Presbyterianism	24403	767891048	Top	1
25478	751811649	Role-playing_game	25475	767011660	Top	0
25800	612429784	Retrovirus	25799	766932601	Top	1
26231	759408810	Rembrandt	4254144	767211126	Top	1
26505	523355540	Reconstructionist_Judaism	26037	767772619	Top	1
26856	766067899	Sport	25778403	768887659	Top	1
27420	763738124	Sri_Lanka	26750	768902816	Top	1
27496	738885698	Stop_motion	27036	767128545	Top	1
27920	757428870	Social_science	26781	767612763	Top	1
28137	721025999	Slovene_language	28135	765699415	Top	0
28193	752998194	Snow	28191	768969746	Top	1
28689	739492280	Summer_Olympic_Games	27566	768150685	Top	1
29254	750668967	Sexual_orientation	29252	766975337	Top	1
29270	696507447	Sculpture	26714	767752825	Top	1
29362	688024107	Sinhalese_people	29359	766695651	Top	1
29488	756916899	Skyscraper	29485	768630075	Top	1
29548	732129553	Second_Vatican_Council	28134	768329761	Top	1
30300	766036484	Technology	29816	768915739	Top	1
30303	767953648	The_Beatles	29812	768873306	Top	0
30421	759630855	Theory_of_relativity	30001	765004874	Top	0
30779	760438422	Tennis	29773	766145202	Top	1
31138	736671345	Talmud	30345	768025641	Top	1
31721	768652905	United_Kingdom	31717	768965222	Top	0
32474	749916522	Vaccination	32473	768693221	Top	0
32536	716804053	Vitamin	32512	767038046	Top	0
32702	730831742	Vietnamese_language	32511	767172221	Top	1
32832	767161967	Vincent_van_Gogh	32603	768023639	Top	1
33981	755864255	Weather	33978	768236287	Top	1
37263	768619038	African_Americans	2154	768668954	Top	1
38336	717843958	Opera	22348	768973795	Top	1
39171	760030208	Zodiac	34411	768663316	Top	0
39941	765795388	Brazil	3383	768805832	Top	1
43053	765623341	Irreducible_complexity	15387	768717430	Top	0
43639	768262229	Motel	21058	767463412	Top	1
44094	762893999	Computer_programming	5311	768862910	Top	1
45147	764245869	CP/M	45146	767209350	Top	1
45245	766905193	Adventures_of_Huckleberry_Finn	14311	768940124	Top	1
45461	753409209	Monopoly	18878	768404157	Top	0
45898	652989915	Environment	37039	763299435	Top	1
46032	759919643	Green	12460	765558268	Top	1
46071	765595930	Beetle	7044	768664894	Top	1
50651	763302750	Astronomy	50650	768203557	Top	1
51615	760581028	Left-wing_politics	18499	768728295	Top	0
54354	756089925	Iron_Curtain	18953051	767989499	Top	1
54700	768524430	Fictional_universe	83932	768524337	Top	0
55324	768948369	Jews	25955086	768977229	Top	0
56289	740257463	Jana_Gana_Mana	56280	768696393	Top	1
57405	732786996	Yangon	57404	767841088	Top	1
57810	754536524	Pasta	23871	768313879	Top	0
59250	760103380	Haredi_Judaism	53835	768683177	Top	1
60304	762969395	Saxophone	26795	764633707	Top	1
62306	737877320	Kingdom_(biology)	53664	767835841	Top	1
62518	676423274	Willie_Mays	62512	768275859	Top	1
63877	758263752	History_of_the_United_States	63876	768855900	Top	1
63917	768413931	China	5405	768855625	Top	1
63970	757456880	Lord's_Prayer	18494	768786292	Top	0
64990	760450182	Psalms	24203	768213763	Top	1
65499	734325561	Contract_bridge	3995	768088032	Top	1
65763	676516301	Epistolary_novel	10011	768481385	Top	1
66000	742812200	Spice	26897	768723564	Top	1
66261	746391172	Soft_drink	27061	768681912	Top	0
66557	739970222	Political_status_of_Taiwan	66555	768873942	Top	1
66595	737308523	History_of_Europe	13212	768947846	Top	1
67380	740824989	Yekaterinburg	66524	767169774	Top	1
67691	762923272	South_Vietnam	59756	768351151	Top	0
68083	726766043	Cognitive_psychology	5961	763422454	Top	0
68362	751543646	Community	5695	765958352	Top	0
69194	768063835	Fast_food	360101	768466194	Top	0
70171	762496154	Indigenous_Australians	12598742	768141446	Top	1
70427	767878036	Symphony_No._9_(Beethoven)	3436	768842376	Top	1
71492	698597245	National_Baseball_Hall_of_Fame_and_Museum	4078	767283643	Top	0
71993	767422362	Breakfast	68768	768602456	Top	1
72349	714476567	Kohen	72346	764733520	Top	1
73684	595267250	History_of_Austria	39477	767613950	Top	1
75492	745116110	The_Beatles_(album)	75350	768771112	Top	1
76076	725557134	Islamic_eschatology	15513	768323466	Top	1
76618	748938580	Buster_Keaton	43055	767218992	Top	1
77061	767880897	Anime	800	767882423	Top	0
78519	768303027	Quicksort	3268249	768134661	Top	1
82544	719262290	International_relations	82533	767825836	Top	1
82994	756400468	List_of_Interstate_Highways	76180	768772031	Top	1
84794	754736474	Physician	23315	768251614	Top	1
86798	737083790	List_of_time_periods	86760	768827951	Top	1
87342	758368683	Great_Pyramid_of_Giza	12224	768525288	Top	1
87444	734747246	Sichuan	65185	767720847	Top	1
87534	763735523	Bavaria	3764	768559107	Top	1
88153	758978160	Lake_District	143752	767868211	Top	1
90197	727715354	Gymnastics	12551	768940915	Top	1
91224	747522431	Underworld	84369	767995365	Top	1
92401	754682718	Writer	45353	767305767	Top	0
97188	730896862	Library	17727	766977583	Top	1
97530	763918787	Palestinian_territories	96665	768827938	Top	1
97539	729485296	Cocktail	7599	761270968	Top	1
98354	753209419	Pain	24373	766829710	Top	0
98618	568658128	Iberia_(disambiguation)	39596	749441634	Top	0
98919	751230952	Demographics_of_Benin	68975	757976061	Top	1
102340	726550658	Cinema_of_China	10791	768801649	Top	1
105225	758726229	Stellar_evolution	27980	768349742	Top	0
113133	637805636	Distributed_computing	8501	762887036	Top	1
118565	754788322	Diving	8402	765960892	Top	1
123423	693473204	Hispaniola	13714	768857509	Top	1
123457	732411499	Philosophy_of_physics	123450	766213117	Top	1
125288	746769974	Czechoslovakia	5322	767386353	Top	1
128044	767482316	Central_Europe	5188	767505132	Top	1
129239	712176828	Cipher	5244	761159891	Top	1
141164	768648691	Floating-point_arithmetic	11376	768649830	Top	1
142324	760987579	Torah	30343	768865791	Top	1
142730	742521144	Music_of_India	14535	767545618	Top	1
142925	763345451	Murder	20171	768209889	Top	1
145566	743888695	Miguel_de_Cervantes	19444	768322587	Top	0
146074	686618463	Highway_61_Revisited	145975	767592528	Top	1
146301	535846852	Amplifier_figures_of_merit	3214	721311273	Top	1
147648	766466836	University_of_California,_Berkeley	31922	768848984	Top	1
148400	731189617	Ice_cream	48212	768866070	Top	1
149994	594152891	Lathe	149993	763456603	Top	0
150073	719445605	History_of_Pakistan	23362	768887721	Top	1
151504	738957602	Bolivia	3462	767937422	Top	1
152360	726393846	Integral	15532	768928609	Top	1
152667	736028607	Orthodox_Judaism	22518	768683363	Top	0
154982	722005309	New_Zealand_national_rugby_union_team	154957	768165876	Top	1
157591	655293591	Michigan_State_Trunkline_Highway_System	23554903	768633078	Top	1
158027	707289100	Kingdom_of_Great_Britain	158019	767048953	Top	1
161379	739162642	Methodism	20119	768289652	Top	0
161598	757818714	Australian_Defence_Force	67538	768147010	Top	1
163578	739347695	Governor-General_of_New_Zealand	4618604	762949694	Top	1
163864	762260703	The_Wall	149116	768707091	Top	0
165631	734161876	History_of_Burkina_Faso	42543	766721736	Top	0
165788	757472172	Thomas_Sankara	165553	768799551	Top	0
165879	720966679	Ijtihad	165834	765637237	Top	1
166218	750008540	Linguistic_anthropology	166208	764725158	Top	1
166582	685749031	Ulama	165511	768915304	Top	1
169044	717719067	Biological_membrane	4817	757079672	Top	1
169657	709785994	Treaty_of_Waitangi	127254	767981105	Top	1
169952	734092872	Anatomical_terms_of_location	168041	765741236	Top	1
170115	758561360	Fujian	88585	767721624	Top	1
171169	754721171	Muʿtazila	171167	766840037	Top	1
171510	759222126	Halley's_Comet	46083	767109496	Top	1
172256	763848011	Mass	19048	768368106	Top	0
173221	751070108	Beer	3363	765438493	Top	0
173917	564883921	Haram_(site)	168762	762903670	Top	1
174402	727290221	Physical_constant	23205	763732795	Top	1
174631	745562168	Australian_Broadcasting_Corporation	3079	768494000	Top	1
174634	623297696	Play_(theatre)	26744396	768476053	Top	1
174912	732899820	RNA	25758	767624276	Top	1
175972	660428455	Digital_audio	53712	748279292	Top	1
176312	712980530	Jesus_movement	159229	766453320	Top	1
177726	763557027	Magic_and_religion	177725	747581067	Top	1
179538	705134764	Game_show	13135	762980277	Top	1
179618	732061129	Medieval_philosophy	26571896	768488896	Top	1
179659	745130278	Ash'ari	179645	768171584	Top	1
180113	719130191	Physical_Graffiti	50246	768964412	Top	0
180524	749745047	Reality_television	38539	768939519	Top	1
183341	740479732	Litre	18094	767436063	Top	1
183636	768388484	Dark_matter	8651	768877327	Top	1
184405	763579330	Writing	32977	768766159	Top	0
184871	757502819	Philippine–American_War	184779	768923954	Top	1
187338	744883709	Momentum	20431	763255127	Top	0
188042	766672858	Revolver_(Beatles_album)	74983	768714286	Top	1
188507	768024473	Secondary_education	29498	765590329	Top	1
189544	676029473	Microeconomics	18819	768892322	Top	0
191765	684247995	Docetism	8344	760937776	Top	1
192836	705791251	List_of_official_languages	192821	768344824	Top	1
195560	755807874	Civil_engineering	5762	768477673	Top	1
196234	765541722	Economy_of_the_United_States	32022	768898028	Top	1
196612	763915328	Ulysses_(novel)	53930	768406668	Top	1
202477	767554751	Myanmar	19457	768928350	Top	1
203991	766885651	New_Zealand_Wars	203959	765187055	Top	1
204162	754433893	Electric_field	41092	768167969	Top	1
204177	765182330	Magnetic_field	36563	768765651	Top	1
205128	717329927	Drill	205126	767469758	Top	1
208930	512740510	Wang_Anshi	207508	759557224	Top	1
209721	514578956	History_of_San_Marino	27249	765995632	Top	1
210548	766387113	Right-wing_politics	56522	768062614	Top	1
211064	686143135	Declarative_programming	210648	756313563	Top	1
215939	730435487	Judiciary	59564	767825218	Top	0
216008	693131218	Golden_Age	31497818	766980750	Top	1
217051	562185837	Sama_(Sufism)	217045	768389604	Top	0
217897	725064198	Willy_Brandt	49260	766220543	Top	1
221001	673079516	National_Intelligence_Service_of_Brazil	221000	717974422	Top	0
222667	729126322	Minas_Gerais	222651	767040012	Top	0
225109	716226772	RC4	25831	759183383	Top	1
226679	765902678	Cell_membrane	33051527	756869027	Top	1
227332	666249189	Industrial_music	91199	768374328	Top	1
228446	767451874	Africa	5334607	765416558	Top	1
229540	679536514	Piauí	229536	764461905	Top	1
229545	686162578	Rio_Grande_do_Norte	229543	760391875	Top	1
229580	679537699	Mato_Grosso_do_Sul	229520	763668977	Top	1
229739	766611712	Heathrow_Airport	13595	768958367	Top	0
232020	730769899	Political_philosophy	23040	764472424	Top	1
232907	686942585	Guangdong	65109	767716420	Top	0
235121	732694877	Inflation	38286	767999446	Top	0
235846	469046168	Live_Free_or_Die	234920	760526083	Top	1
236296	766231042	Spider	28329803	767103111	Top	1
237411	717834742	Politician	55959	767924249	Top	1
237618	763359008	Retail	183515	768931422	Top	0
238910	759552487	Koala	17143	767371874	Top	0
239535	743406414	All-America_Football_Conference	73669	762513964	Top	1
239656	758799098	The_Kinks	3158351	767678179	Top	1
240751	707843088	Raidió_Teilifís_Éireann	23685141	767254168	Top	1
242914	615605240	Hebei	72664	768909827	Top	1
244135	659948613	Ethiopian_Orthodox_Tewahedo_Church	229435	768912254	Top	1
244785	765496713	Grandmaster_(chess)	12304	768323984	Top	0
245374	762030809	Video_game	5363	768231641	Top	1
246696	764771388	Suffrage	70322	768820103	Top	0
248561	717881995	Loan	208852	761224718	Top	1
250318	722628560	Juan_Manuel_Fangio	48532	757839321	Top	1
251875	721837853	Arabic_music	251740	768174866	Top	1
253438	711531438	ElGamal_encryption	59458	765599528	Top	1
253927	474320391	Iwi	219984	765341065	Top	1
254030	741152661	History_of_rail_transport	211919	766731347	Top	1
256892	768033009	IP_address	14921	768956365	Top	1
265372	676534514	Wolfe_Tone	171353	768273301	Top	0
265714	759875997	Olympus_Mons	22818	766388371	Top	0
265922	764065088	Administrative_divisions_of_Taiwan	165411	768955611	Top	1
271265	512138525	Radio_propagation	271195	765165526	Top	1
276558	764727755	Small_business	276495	765941012	Top	1
282319	738441715	Led_Zeppelin_IV	50242	766588809	Top	1
287187	768658132	Delhi	37756	768912356	Top	0
288482	745167833	Gastrointestinal_tract	69720	768491672	Top	0
294275	750945488	Chinese_Buddhism	226808	767142499	Top	1
295334	699386205	Restaurant	26437	768570370	Top	1
