page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
14898208	288	27	1	27	1
14999768	224	22	1	22	1
14297439	370	178	1	178	1
18742654	815	408	7	307	3
20527491	646	113	3	30	1
20914502	221	45	1	45	1
28330615	1143	274	10	165	6
38292987	189	128	1	128	1
31142430	24540	5295	79	2339	20
38312978	198	129	1	129	1
5963425	949	227	7	141	2
680	65095	7252	66	283	6
392443	16740	3189	49	1100	14
1733114	1982	357	12	15	1
2166883	832	306	1	306	1
671288	5916	461	19	68	2
18950723	3561	699	19	414	10
21371767	23910	5406	62	4217	27
1234054	6889	1330	29	318	8
790044	12907	809	8	56	2
3050775	478	234	9	66	4
56823	31059	7542	84	4986	28
13524588	2527	1081	24	580	10
56824	24953	5396	103	2997	29
262625	32672	3839	52	985	10
1596576	4390	1600	21	1066	15
770033	5490	2650	55	1065	28
563290	34432	3271	54	534	14
397042	5626	208	11	86	4
8058665	427	141	6	85	3
7773517	1227	378	5	361	4
252274	166088	14260	70	98	2
7149073	344	114	6	62	2
8397423	5015	485	16	258	5
5334607	189879	31311	434	13843	147
468634	8361	2832	63	1640	24
250680	266728	34825	205	19836	54
24604354	4015	3041	18	2560	4
331015	11225	596	18	255	7
1620421	2052	345	11	210	4
2108409	8363	84	5	13	1
512047	21833	7868	105	5982	66
43386853	1079	383	7	129	3
3574103	1776	421	14	168	6
2503	30712	8616	119	4000	38
2767951	4141	868	15	729	9
1601816	3463	635	16	280	5
433607	3091	525	13	360	7
51835990	0	0	0	0	0
10634933	62610	18241	195	14001	113
8301094	0	0	0	0	0
18947965	34101	13661	164	4626	41
599	36236	19697	189	8297	70
3168	10319	2398	45	930	8
4618035	1083	365	11	81	3
36669949	54	0	0	0	0
392367	10587	3742	28	3146	9
1889705	689	253	7	118	4
72441	418	96	6	39	2
2059991	1913	697	23	440	14
17444316	509	190	2	190	2
17864708	2832	83	3	71	2
14543243	956	34	2	34	2
21109892	1448	60	3	43	2
28036396	615	77	2	77	2
18465999	499	56	1	56	1
46295033	217	0	0	0	0
26641622	301	52	3	0	0
420766	3093	1206	10	1183	8
51294	25780	9658	50	3485	5
623801	2094	100	6	42	3
841303	889	416	8	389	6
7140267	5063	1931	34	903	16
9464742	355	207	2	0	0
36670199	21	0	0	0	0
466160	7145	981	32	463	10
7902206	1831	296	9	149	5
413671	6971	1364	30	545	5
8726463	40529	7783	100	1361	18
358	148988	32066	482	14775	120
13453444	588	199	3	181	2
57600	6519	2352	20	1341	10
1644	28856	7848	116	4383	25
1223981	3746	652	9	641	8
2887139	562	91	6	59	4
6902934	2156	1244	17	830	10
259151	14173	4534	49	3209	14
253754	9350	4643	43	2602	23
355173	11917	3739	32	3083	20
19230789	43788	13017	133	608	9
36670294	78	0	0	0	0
501555	1448	201	7	188	6
17255633	0	0	0	0	0
20663625	46426	22350	108	16723	38
874	141051	21939	435	6399	48
1681916	11118	1349	17	367	2
6645651	5281	2296	50	822	20
2674410	1335	693	8	659	7
36670423	22	0	0	0	0
701	112945	22593	385	13552	179
709	4659	1328	14	859	5
2057171	19614	6399	115	3868	54
32439255	2306	471	4	331	3
1053409	6718	2595	40	2005	26
16844	50297	14439	132	2186	12
29796806	261	50	2	50	2
56597	18711	4787	44	4464	33
29796836	901	441	3	420	2
29796880	328	117	4	117	4
1568479	5116	646	15	75	2
2308222	1106	269	12	135	5
25561754	480	106	4	43	2
2200527	142170	25744	389	10180	75
716705	723	218	7	102	3
4810937	37732	7723	89	3317	34
31648822	1866	799	10	689	6
3609552	1985	1130	12	827	8
2249390	4823	162	6	25	2
2534585	1361	152	6	40	2
8029	5275	1506	28	1036	18
25502	1104	283	8	171	3
4494297	776	158	5	129	3
8319463	213	60	4	39	3
3256468	35	0	0	0	0
17959995	0	0	0	0	0
