page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
21456934	Q4790730	17	17	144
17877119	Q6960644	266	266	170
32929126	Q3914412	82	33	287
39034318	Q16007780	2	1	44
22479174	Q6727765	14	14	127
18486406	Q177205	14	8	717
10991302	Q360792	406	10	3170
2171572	Q333536	15	1	508
51452301	Q28134523	4	0	174
51798235	Q28332478	21	21	77
31023677	Q1883717	9	6	274
26260273	Q1345957	8	2	113
6172501	Q1335192	55	0	1076
29698192	Q5108733	14	9	339
46373945	Q20668252	14	2	286
394990	Q471125	178	152	773
1090020	Q44270	702	227	17610
591223	Q34994	46	12	668
33192003	Q35662	71	63	221
7671790	Q2868087	39	1	337
17438647	Q6374729	129	129	81
3497764	Q521322	43	34	369
5419750	Q1200650	15	0	176
22166724	Q7226403	79	38	176
552828	Q188258	378	262	4005
11992484	Q4960374	5	1	152
347721	Q704886	585	3	2953
18773476	Q6728318	204	200	121
2639275	Q329261	228	197	2038
49132466	Q22278446	1	1	114
27389051	Q4121511	88	19	164
47305137	Q25043458	94	80	336
1445211	Q582905	157	50	1073
43136716	Q17319106	2	0	95
12173321	Q1767190	86	10	822
33052968	Q5755180	8	5	187
17247023	Q3562131	122	121	84
5820225	Q1625699	2	2	69
46832893	Q4135431	3	0	327
21439412	Q6505763	17	17	69
34414	Q1774	2309	845	79085
21851412	Q6738563	0	0	57
10373644	Q6395592	3	2	51
27031017	Q726737	3	2	68
33287724	Q7820798	54	45	193
33397698	Q3565982	16	13	98
7252007	Q16017721	7	3	359
38731939	Q7061821	7	3	172
18771220	Q7800965	203	200	87
9703760	Q2066372	165	163	256
18752535	Q998778	182	182	88
38994162	Q17017297	6	5	287
21861625	Q6404758	0	0	89
31846074	Q7973529	6	2	391
6682851	Q7596232	10	4	120
27366662	Q2416950	85	19	79
6192957	Q1711861	151	14	1213
1601816	Q972634	303	50	3828
44127257	Q18351462	5	3	308
17922872	Q10859355	223	230	88
1867135	Q902786	41	20	299
21983381	Q6635812	10	6	136
17958572	Q7563471	135	135	114
52518655	Q15838612	19	6	89
16193347	Q2757182	43	35	276
17542162	Q721610	37	12	133
28034868	Q4891207	0	0	76
37229824	Q7679187	2	1	60
30152835	Q2485249	7	1	144
27012836	Q5509011	0	0	175
33417970	Q2857826	34	32	173
1506332	Q779703	197	21	1188
26046192	Q3123769	259	235	173
16182508	Q3285211	54	54	136
21788008	Q520434	32	28	605
25458417	Q4831578	7	4	187
22787173	Q925904	67	62	226
56689	Q3894	3063	1924	22355
17049600	Q2846856	83	78	83
23492432	Q8072016	1	0	66
28139627	Q1574539	89	33	1500
48172564	Q9311502	3	1	65
9692701	Q3000418	76	46	219
1786759	Q1375825	155	127	424
417385	Q3854319	46	0	2894
21538512	Q1103496	7	2	116
9659444	Q1752285	37	16	335
17246042	Q3294582	122	121	123
6261457	Q891951	198	187	876
17958363	Q6959273	135	135	147
17786	Q2088379	274	82	2781
8913936	Q7395791	8	2	369
24880126	Q6933682	255	220	707
49116409	Q25550606	53	43	474
34167918	Q5026486	85	50	383
36621529	Q1706688	15	3	227
862486	Q5483896	1	0	110
40883644	Q1187666	1	1	128
20490228	Q5350556	2	2	172
17568270	Q4864966	267	266	211
17097386	Q1401503	73	52	852
21672001	Q5354499	1	0	158
2456557	Q2866681	10	5	406
50909509	Q24883274	77	4	331
22170558	Q3757267	2	0	51
26046142	Q3099836	267	235	264
39353443	Q699127	210	3	5275
405888	Q310574	75	33	3311
33210847	Q36374	192	174	179
38312978	Q4630394	70	68	324
9377	Q1435211	160	132	4666
26817560	Q15948863	194	44	342
30156581	Q2053564	68	32	221
27543557	Q6743475	2	0	152
5300212	Q704669	129	55	462
19452708	Q3502902	10	4	68
1273299	Q116524	27	23	200
884059	Q6637056	45	0	229
1896896	Q923018	375	71	1089
35368994	Q5263862	7	6	112
18111878	Q5590226	6	6	124
556317	Q7333287	21	15	540
45004236	Q19576808	59	15	90
23392616	Q5262560	9	7	237
21276654	Q142708	11	1	285
12419508	Q1584207	57	16	495
12491027	Q1268301	22	9	224
22170988	Q3755916	2	1	118
5185404	Q972434	124	7	3191
32421381	Q7081735	1	1	89
42141378	Q16879318	34	27	97
203970	Q25247	543	45	20508
41383023	Q3242965	63	48	1323
3905506	Q614566	12	8	188
31151088	Q7368981	9	0	411
25120757	Q7561270	4	2	48
16998099	Q4668289	2	0	177
16140654	Q3487279	69	66	59
21662916	Q6542926	14	12	92
7787413	Q720502	71	12	319
32056006	Q4560844	2	1	141
17711102	Q781029	106	83	941
3819178	Q1655182	63	53	426
52593559	Q28406775	2	1	141
16891275	Q4247147	123	80	472
31098375	Q17012344	4	2	248
744723	Q1700787	79	14	2195
13515705	Q7425793	4	3	158
7013216	Q4858245	5	1	216
49133149	Q22097682	20	2	235
12968870	Q3088094	59	5	382
2021796	Q318306	125	73	1796
38565714	Q7443090	19	6	102
1362960	Q212728	559	34	5273
17528694	Q3529340	10	6	352
25019672	Q4701362	2	0	78
22477034	Q7142557	12	12	72
8989313	Q7966924	4	1	442
849246	Q161232	72	0	4282
42101020	Q17099281	12	12	360
46602240	Q19969365	239	61	381
17781	Q1013	4879	1118	77817
31521877	Q6545477	0	0	138
27154579	Q6782972	18	11	403
47127212	Q11798197	4	0	154
25008161	Q4883067	1	0	145
45112412	Q19461514	22	16	150
45183919	Q19462794	6	5	232
16250987	Q4949494	0	0	65
13967965	Q1647475	2	2	170
1830601	Q2973144	234	75	623
41375429	Q15336213	105	4	211
1037024	Q1677	197	56	1194
23284147	Q4616366	23	22	57
1831502	Q5135569	133	9	9670
26046092	Q3108087	261	236	154
7467982	Q5112686	5	0	418
33201167	Q2257830	295	59	2556
17049613	Q3460690	83	78	117
28333708	Q1977128	223	7	126
35914868	Q6773018	2	2	146
26329713	Q1932167	107	1	644
32818401	Q3759194	9	6	148
22591653	Q4613045	23	22	149
2193229	Q5109529	3	2	68
38465865	Q3513409	27	6	537
17895889	Q8053761	209	209	113
40616841	Q16106718	2	0	96
31603490	Q4701011	35	31	141
17246037	Q2857641	122	121	89
43060054	Q18354873	2	2	109
8520318	Q4859841	59	0	176
51567010	Q26869825	5	2	129
51592767	Q27245759	41	25	206
24957331	Q5245689	144	14	694
8235131	Q5031384	73	49	188
18530427	Q4737566	114	36	1065
25561754	Q613920	96	78	677
49179198	Q3812999	2	1	185
23033276	Q5435517	11	1	192
42596169	Q17058664	11	6	485
36231456	Q3329706	3	1	172
9404	Q580111	151	79	1449
7336930	Q4765721	30	5	334
62161	Q1669293	88	62	639
6501931	Q6303103	252	189	1508
2175918	Q772185	83	60	533
84643	Q323213	93	15	8503
12536819	Q1763401	225	30	175
36630224	Q2107303	13	6	87
36303361	Q3346668	28	26	112
4290157	Q3288975	7	6	390
52355885	Q27915370	135	9	211
34248972	Q8053523	3	0	135
17005931	Q1050731	29	27	422
15913295	Q2842256	80	80	173
18778846	Q7024039	181	181	170
21306832	Q1069508	67	15	768
15256864	Q10332972	130	130	96
11458007	Q4684261	1	0	215
43767078	Q18355651	22	19	123
2010497	Q3757545	5	2	149
54292123		2	1	0
16705614	Q1516782	156	20	867
18947345	Q460354	2	1	87
17926303	Q7515325	266	266	98
9405	Q257656	293	87	6423
6553194	Q3627844	134	125	185
28157022	Q16955967	1	0	223
32812189	Q6805907	59	47	259
20766335	Q1019981	165	19	746
17437333	Q5215964	129	129	67
15913269	Q2853299	80	80	66
53613199	Q29043202	8	2	75
23606227	Q6542922	0	0	52
22343475	Q432530	183	173	314
25625678	Q4787937	13	2	192
3734875	Q2638301	42	4	3071
36730539	Q6636707	80	69	183
37377323	Q6799753	3	0	116
17437358	Q5364653	130	129	96
10812346	Q690741	109	35	461
15966718	Q5001011	274	50	630
39574699	Q16952669	2	1	155
2002484	Q621917	555	38	5284
1842316	Q2987354	138	82	7714
32851406	Q6542919	54	53	122
23392368	Q5446187	9	7	128
6067359	Q27435	292	237	507
524267	Q5780	267	59	13485
2173569	Q977010	17	3	420
28126983	Q6741021	31	30	83
18225119	Q7515460	310	309	87
39444948	Q17070169	2	2	316
1499201	Q3271104	61	57	458
17878560	Q7418739	266	266	195
5523048	Q7399733	48	10	387
23402823	Q7067600	1	1	76
19324419	Q4873619	4	2	100
46767961	Q19960785	1	1	166
22477387	Q6727763	11	11	89
31827986	Q4600700	42	33	165
47926396	Q24236307	59	54	1007
18815413	Q5207708	182	181	152
24625786	Q7251283	42	39	287
1378625	Q3586689	167	121	701
42839013	Q12693306	2	1	99
14005828	Q2152920	3	1	98
35274568	Q4783422	6	6	48
3672179	Q2862906	44	32	1159
20344990	Q1374750	20	16	307
3164519	Q4988803	34	8	1022
246416	Q1955040	308	159	3181
32061496	Q368228	22	19	284
49336797	Q18220994	9	1	254
3529526	Q1057594	12	8	297
6615489	Q2979621	135	126	304
18225288	Q7700553	309	309	102
56897	Q1153581	335	269	1567
16682275	Q962570	34	26	458
16109266	Q5285212	48	48	114
18229114	Q8002054	309	309	141
7078106	Q1569613	209	189	1164
18771918	Q7801088	203	200	103
5666586	Q4062785	4	1	88
17609250	Q8072098	24	6	657
255432	Q214137	174	7	3661
53281305	Q3216284	7	6	112
43385567	Q18394679	16	12	345
2822886	Q1470920	54	52	193
32878998	Q532909	34	32	216
503684	Q724362	131	70	1574
41968893	Q13538504	5	0	267
8199681	Q708612	67	49	311
1378527	Q569904	57	40	527
4032508	Q45826	47	17	823
14218749	Q8059307	26	25	98
2991015	Q2460081	76	7	812
2619575	Q812659	22	10	704
14062579	Q2742246	121	0	400
16182099	Q2852676	52	52	65
242031	Q210069	354	164	9463
39472902	Q13374888	24	23	156
30691249	Q4670727	30	20	491
52117597	Q27589887	2	1	162
3399672	Q833607	350	92	2248
32698760	Q36062	536	473	348
39047507	Q15264760	81	80	226
51257675	Q16161140	2	2	163
16569289	Q4777813	6	2	211
19906040	Q1442948	7	6	195
22490212	Q6427380	12	11	58
873066	Q1796241	17	0	183
17230556	Q1538708	49	49	164
19469828	Q16734183	1	0	247
43549626	Q18348842	23	20	78
15551614	Q1808777	11	11	351
22345982	Q891711	25	18	227
14790860	Q7409058	11	4	330
6814920	Q523078	472	26	5109
2865234	Q1740874	67	47	952
30472281	Q1814708	106	9	1209
49995081	Q23663961	6	4	494
2313092	Q5340966	264	133	6534
1449975	Q936023	120	65	944
1505460	Q1102886	3	3	128
763245	Q311798	290	134	4746
14324084	Q3805618	30	10	402
18739608	Q6124424	2	0	181
10840142	Q5542759	19	2	545
19078232	Q2878132	2	1	151
18760925	Q6488618	203	200	130
16270690	Q4888033	28	15	300
23884833	Q6541173	42	0	92
17905807	Q4949693	210	210	89
28147893	Q6971101	4	1	195
22478359	Q6878926	8	7	75
47571152	Q20871636	209	32	81
4523786	Q218954	109	94	475
50827517	Q24895499	1	1	174
23376485	Q2494766	6	2	172
45374014	Q3566566	5	1	197
29151305	Q1318183	18	10	127
18800600	Q6064993	181	181	129
25547569	Q986671	267	265	199
35065721	Q3438402	85	77	199
23678398	Q7314891	279	35	216
49364388	Q23540913	0	0	170
26275855	Q1125765	40	20	263
17944881	Q2112691	119	20	697
12680386	Q2716815	56	7	447
21264243	Q5384274	27	23	68
20595803	Q888796	61	52	1018
45183269	Q18921818	4	0	156
17948932	Q1018378	225	231	153
33744693	Q7593696	4	2	154
32167814	Q4620268	29	2	176
2822860	Q891238	53	49	166
21916902	Q6458181	98	84	916
28205069	Q306688	58	0	197
14789512	Q1021218	36	30	286
1697180	Q7337277	75	5	327
44051870	Q18204364	50	28	203
183082	Q131377	388	16	21653
25515384	Q7181136	0	0	51
