page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
37643298	1115	304	10	226	6
13054492	8056	4153	35	3594	21
2994571	11629	2181	30	821	14
77745	46386	13926	177	1458	35
655	61117	3107	51	213	6
1537	74691	4262	74	796	10
11953685	11333	745	13	350	6
5556566	5140	680	17	589	12
25275009	1138	610	11	417	7
318500	11415	3311	45	1818	23
293226	12874	1239	24	1041	13
105059	9638	2519	71	2103	52
45655698	3698	838	13	773	11
873936	1628	457	11	430	9
9704619	1050	43	2	43	2
976805	8766	3995	18	3942	16
39029	59904	4223	108	908	12
841285	10839	636	16	480	13
18603746	119416	24930	356	15766	183
22297726	4040	1521	30	1085	21
13564463	19383	5541	79	4357	50
17259835	6548	406	1	406	1
60520	79048	17382	276	6764	78
3267529	297774	39420	682	4922	72
4468	8071	1811	32	231	3
140955	4545	743	13	383	6
7053	29508	4599	119	33	3
1092292	52688	11175	197	7637	108
277560	9381	5440	53	4853	43
241636	22252	6356	114	5345	78
250126	11629	3285	54	1693	28
203299	13038	2474	56	1925	36
232420	7566	2160	17	1583	8
147447	5982	875	23	464	11
170375	34933	5720	122	3976	63
17293357	2588	411	6	396	5
232384	31480	3822	46	1615	12
6859	97812	35892	278	26627	149
5405	600186	126142	1790	50036	607
77894	11236	2769	56	1309	25
8943954	4352	1123	16	823	10
40689602	0	0	0	0	0
7714083	3267	256	6	112	3
38972	14220	2267	74	670	20
964617	12987	1092	27	832	18
66297	14121	1124	35	672	20
159669	24890	4918	51	3465	21
1524517	3689	888	27	293	10
226808	12763	1800	47	1412	36
6966	217434	28564	111	22995	49
1119765	11726	1779	47	946	28
91231	62607	9979	143	5573	58
54422	57598	18233	243	13147	135
7242	4904	1546	41	1301	30
6583	41226	5175	113	3362	54
156154	28763	3085	69	2147	49
66203	52992	9022	84	3717	37
23650107	1880	603	22	257	10
1491156	35791	24160	157	19806	96
321538	5347	891	24	596	11
415070	9738	2226	52	1209	26
5751	90008	15621	278	9616	152
37568	4226	322	12	46	2
153825	8854	1383	27	810	20
485429	57539	18147	206	8055	72
145957	33757	7605	120	3027	66
163247	17646	2196	67	1349	38
153223	4929	1093	25	729	18
19682699	1173795	29221	133	4650	54
277584	9836	963	31	566	14
372983	14203	3699	68	1550	20
5822	9784	2428	39	1775	23
256577	3832	345	14	237	8
19175349	1854	222	6	222	6
1515930	6149	416	11	395	10
61106	5325	2381	37	1808	20
21360689	327784	46507	72	41205	30
171752	48054	12157	181	8574	106
24346064	26922	1412	33	195	6
10791	11043	2954	34	1555	16
422000	1991	581	13	249	4
5361005	31967	2133	28	1859	23
341991	970	94	1	94	1
7175	56756	18227	220	13964	145
5820	75972	14322	243	9442	114
5823	94302	9556	173	5719	67
2452214	4072	182	8	71	2
163574	4440	719	17	627	12
21773666	63	0	0	0	0
45311	75604	12644	203	10212	120
20238168	108479	30150	217	5053	39
250109	18629	3688	93	2288	47
34899907	0	0	0	0	0
8205	54962	17191	154	13735	97
100640	59242	5223	85	3442	41
7563575	1819	280	8	200	4
263009	20806	6133	50	4164	28
331219	4210	609	14	362	8
521930	40464	5576	39	5430	36
3398337	8420	3077	59	1603	28
22877910	1294	206	7	52	4
21478413	2696	592	11	343	7
19284336	53993	5095	59	3680	31
407843	17428	599	20	386	9
58669	20905	5276	81	4117	62
265947	6746	3481	33	3285	24
256180	20546	5775	79	5097	50
5864938	5191	2535	28	2133	21
35296579	907	486	5	115	2
9534775	3516	688	11	633	7
6097255	0	0	0	0	0
422308	22265	2229	39	1034	27
266654	18018	5664	55	2846	18
143829	48202	17446	153	7567	62
69972	40967	14080	136	8004	56
24930425	31907	2084	33	1602	10
69123	66701	12495	159	6615	92
23244	10834	1570	20	1060	11
30096	17043	4262	33	2338	11
1662653	18467	7681	35	7311	21
2203791	3671	353	10	285	7
88585	21717	6572	154	5232	106
241002	11169	2011	54	1554	32
1300604	2929	1065	21	805	16
152814	11757	4636	92	3773	69
338378	14535	5217	58	4818	42
1134285	1697	555	9	398	3
17414699	305698	40597	323	15704	50
23237	18585	1320	18	1157	15
5620686	0	0	0	0	0
64971	134086	18207	195	876	18
