page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
3691341	Q1069950	86	8	428
23119395	Q942834	130	121	220
10095598	Q5027847	164	157	324
4683551	Q713685	298	0	192
5151778	Q8044301	2	1	138
12360121	Q585544	43	34	342
7618071	Q5284057	52	40	243
24605761	Q1062205	215	207	453
25651177	Q5100805	3	1	1245
13078123	Q7967546	16	2	83
23633651	Q5009744	49	27	619
36115414	Q7496839	58	2	1784
3669163	Q1290835	17	11	174
11016200	Q16216855	18	4	219
50642156	Q24258829	1	0	173
35691169	Q549872	43	42	363
2076936	Q266521	276	8	2868
25747023	Q1061585	7	2	268
34551346	Q5937020	16	16	88
26539286	Q28417224	61	57	69
16676096	Q2273408	373	65	908
995404	Q580624	300	291	1128
1695424	Q515817	374	202	2048
10239590	Q11061654	40	2	267
41663682	Q11094924	1	1	87
38068590	Q2118062	2	1	54
45165151	Q19839591	21	0	172
2426105	Q3529179	63	42	527
6850197	Q1208121	142	132	534
37920101	Q613288	136	129	224
919288	Q6035477	11	10	266
20754760	Q7523	809	225	83308
47600362	Q8292904	39	25	215
25348222	Q10747786	54	50	316
1371278	Q6730865	6	3	304
89786	Q6690389	88	39	580
9362958	Q1028631	70	7	1036
4766276	Q1194963	103	88	940
46196776	Q10879728	33	20	243
31258089	Q294457	220	215	168
55023	Q5066	879	393	10816
2646247	Q2287033	30	28	1310
24749151	Q1318786	139	134	244
15286852	Q752888	17	7	321
21518150	Q1542166	79	6	622
23675004	Q4998399	27	14	803
26499049	Q4753461	5	0	45
8703563	Q261743	127	26	200
19317030	Q1105702	405	2	12009
6999598	Q697538	23	16	473
18268314	Q359599	8	2	88
36539990	Q5099912	166	1	152
42636875	Q10554882	19	9	139
7795926	Q814242	268	131	1704
1304868	Q1200861	234	213	1639
42873636	Q16222604	11	1	373
40827580	Q7901429	6	6	311
13361990	Q5021778	59	27	1176
34790455	Q866633	17	11	1007
18604863	Q5099970	22	20	301
166408	Q43684	3909	2688	15188
22899968	Q16874741	0	0	48
3123579	Q1185345	70	58	3627
51535503	Q28187342	224	208	82
18407397	Q2003901	19	3	564
44925568	Q18757813	6	2	549
43200561	Q18127292	5	0	126
2959815	Q9886	144	125	757
2072979	Q1028091	325	310	767
38190708	Q2857535	2	2	52
45555681	Q19457620	254	89	349
6566601	Q1185335	69	27	1187
5361005	Q2735963	138	2	25528
29962387	Q5090739	126	106	1035
4600711	Q3109697	36	8	535
37671798	Q7982935	1	0	145
9496811	Q1018059	301	274	444
24702680	Q1199418	153	144	200
26157913	Q7764910	31	24	430
6268177	Q1069276	4	1	93
3796385	Q1334871	159	140	330
1470278	Q7829171	94	15	1219
5946340	Q732353	181	106	2832
9325640	Q855088	31	31	206
12559999	Q4658303	5	2	403
4977739	Q790606	43	5	473
214711	Q1404347	279	41	4350
7344854	Q5331124	41	8	212
36702608	Q15488390	12	2	343
4440060	Q13631670	197	171	1012
4111991	Q2556850	156	98	847
293847	Q345012	336	77	2944
41323825	Q1877538	1	1	120
40408936	Q8266835	7	5	516
356225	Q3127920	82	21	1066
7613176	Q1140999	30	15	557
5042185	Q4695488	24	15	184
9775771	Q1062040	95	47	2957
16744981	Q16056337	37	12	75
20892034	Q7736377	5	0	214
4790420	Q197703	127	74	1177
26914981	Q2082884	331	1	159
26231203	Q4818984	9	6	178
41313124	Q10933357	10	8	193
47827634	Q10296347	3	3	161
1223037	Q7129502	28	9	641
15344704	Q10750639	48	6	576
2957726	Q712505	775	96	2619
823326	Q1200624	72	68	547
23980975	Q1360396	133	129	164
6782885	Q2641005	184	162	565
38383624	Q6497653	75	14	137
21969888	Q3735888	14	4	222
19472296	Q842959	28	27	213
31187900	Q143259	222	215	155
45472331	Q18653130	23	23	112
919892		3	2	62
4590261	Q711445	7	2	315
23425507	Q2756345	28	24	824
18105353	Q137566	239	172	1981
166326		3	2	55
746748	Q2668502	106	83	764
1086520	Q8664	38	18	2642
43390986	Q18345899	228	3	5471
11185918	Q1137771	113	77	1169
15174105	Q151135	285	56	8221
11941872	Q632765	28	8	322
1074448	Q1147606	421	352	3042
29707622	Q1098039	24	22	378
12257703	Q6069279	36	1	2785
15272003	Q7302105	91	80	469
45418574	Q19457611	9	3	207
198761	Q239143	1560	373	14925
23980595	Q1334922	139	130	196
17728350	Q6659341	5	2	102
582967	Q1358851	175	92	1683
41315091	Q15292993	48	31	92
18446145	Q4696827	68	25	297
6421098		11	4	129
7986518	Q6619021	1	1	326
12511721	Q4547430	234	208	83
51303707	Q27962485	1	1	859
29406773	Q3497807	6	6	469
53104454	Q17436992	3	2	249
45192730	Q3230339	3	1	217
27499270	Q259664	19	2	208
12434965	Q1301293	7	0	192
20124340	Q707448	20	0	537
38918393	Q16887219	1	0	80
20863845	Q8060995	3	3	643
15890248	Q6539114	10	6	313
3339978	Q3243622	375	295	1659
2984127	Q7801005	189	68	517
1087259	Q8549	58	24	3144
343256	Q7262	75	37	558
38126052	Q2656857	1	1	76
25010356	Q5956448	48	46	147
26328089	Q5278294	27	26	118
15442288	Q2708130	23	7	869
612876	Q855146	31	3	728
12600336	Q5613713	0	0	51
1618577	Q182246	175	85	11628
36941594	Q4833562	0	0	121
28804522	Q856444	79	66	360
25828695	Q4979440	2	0	545
460657	Q1632823	26	12	846
2225338	Q10036993	231	106	872
30604363		0	0	26
842744	Q5619668	21	17	524
46959142	Q20791672	140	124	428
2932903	Q5971883	134	132	123
19737851	Q1028107	53	46	222
27915948	Q5100260	236	141	461
37881905	Q724601	3	2	140
4716338	Q2194009	10	6	136
23525230	Q701642	132	99	1351
3042121	Q851900	9	8	226
48288222	Q21229938	2	2	117
37794044	Q6753570	4	4	222
1585027	Q6942109	108	98	410
25862547	Q34800	3659	1597	55674
6456797	Q5324974	7	0	144
21556371	Q204368	573	249	35199
30876789	Q5509697	116	105	361
10991150	Q602708	77	56	675
36031539	Q1745858	100	17	169
26917165	Q1043021	36	22	645
24571947	Q13942909	4	2	110
465125	Q713466	502	108	64668
308274	Q36020	221	131	4799
21492113	Q263932	50	22	396
26556976	Q7494357	1	0	119
20576267	Q7715909	24	16	288
17798882	Q1089437	248	144	3389
5140165	Q252007	8	1	327
52192152	Q27734831	91	1	306
74137	Q2303916	7	2	295
1894887	Q72990	288	267	1046
32622906	Q5295215	2	2	597
40568532	Q4843185	15	13	2302
349150	Q180626	371	257	12153
20739363	Q7967622	17	0	183
39432014		98	95	409
919887	Q1343386	381	309	1831
33890924	Q8028392	57	25	1034
919225	Q837969	62	54	371
25977585	Q5613635	4	4	163
1539826	Q752499	96	5	1896
1833124	Q1336593	29	18	2773
30825862	Q6663131	2	1	148
31303256	Q5870684	11	5	1846
18545645	Q6598971	67	46	977
41738635	Q16242791	37	0	671
40307073	Q14624973	2	1	115
12412225	Q2700148	4	1	88
15553277	Q5185420	200	149	2398
34893453	Q5163348	8	8	101
36048850	Q4631496	1	0	445
15189360	Q17006609	1	1	152
477948	Q464904	191	155	2786
26471525	Q19853921	55	53	64
254234	Q1615742	6946	3440	26245
8604141	Q4977857	59	13	722
52833045	Q29468806	1	1	724
378708	Q874682	153	13	1979
6564285	Q715791	29	12	861
23784640	Q7684234	0	0	127
47950592	Q23043479	30	28	395
22809419	Q804983	9	2	972
1828323	Q2389456	208	134	2422
46245930	Q11105890	10	4	376
23977841	Q373461	155	142	239
640963	Q157307	92	2	10074
11597545	Q5927091	8	1	249
1386145	Q863443	100	90	7003
19435857	Q5894524	136	42	258
12227189	Q12614235	25	8	376
23833108	Q19839986	6	3	224
40444936	Q10930517	14	14	89
30872851	Q215755	437	370	1592
40798183	Q16237492	15	8	4355
44285013	Q20311483	1	0	97
37684350	Q5958004	11	5	179
26327967	Q6704645	126	99	289
9585450	Q530415	70	28	3350
2316231	Q953807	310	295	387
42406915	Q16899788	3	2	245
26441799	Q7260207	67	66	86
40885113	Q16056715	16	15	107
34115154	Q7682671	16	13	76
38063063	Q2117097	2	1	150
7714928	Q1046427	297	287	192
1329631	Q1319618	77	2	3217
47496369	Q20063943	23	13	2438
21818811	Q8045155	15	3	133
2324569	Q836121	139	136	292
7458581	Q3254791	162	157	388
8175590	Q837807	18	17	224
662671	Q1149167	25	0	2578
7344367	Q2120415	38	26	399
39183628	Q10926077	103	33	3053
39487778	Q15903590	194	169	608
33160781	Q2384843	123	111	405
459394	Q524586	309	297	581
23270362	Q1073412	85	21	267
1662886	Q858533	144	0	1101
48028711	Q16727973	24	7	116
3259005	Q1192081	297	290	341
38423199	Q4170423	1	0	151
17556338	Q614916	102	84	1205
5830033	Q433853	31	4	101
38538850	Q4806197	1	1	97
28516444	Q5613118	0	0	152
919083	Q832792	48	44	672
4543444	Q713573	89	87	343
18204126	Q2177983	7	0	353
15152400	Q1198090	116	110	258
43456	Q7405	1274	403	12546
4866746	Q708888	133	40	1853
25955764	Q16923302	1	1	50
40282592	Q14198814	22	22	86
36172218	Q7488564	291	271	277
31760756	Q3735493	6	2	2110
51846729	Q27966776	40	30	419
31620465	Q8059986	5	1	79
6138382	Q5598975	214	181	779
6659349	Q486149	263	235	1368
41875271	Q12781382	17	0	64
38267064	Q7722835	4	1	497
24701081	Q1199616	160	149	268
43467105	Q18125788	146	122	236
17143304	Q5426525	7	2	72
28774727	Q713697	23	23	201
24702543	Q814711	149	144	302
41267553	Q9291496	1	1	175
12271633	Q2614908	48	35	271
22599567	Q5510519	94	61	686
5431509	Q1270501	167	130	201
1931208	Q434924	257	218	1515
20538918	Q1988046	116	32	1834
760922	Q165178	82	14	20840
1040755	Q696736	451	30	3243
266511	Q569962	507	14	1618
10444037	Q2615610	133	49	1941
1479349	Q873230	40	23	503
7126138	Q3057611	18	16	221
29528565	Q2813494	21	4	201
44402848	Q19595554	128	1	247
36013875	Q589297	43	41	233
5500393	Q2962647	170	166	229
26539543	Q8044325	54	53	91
1284946	Q80191	459	22	4868
51369577	Q28432983	224	208	94
3992543	Q986223	10	9	142
43266388	Q17438485	26	0	252
33593226	Q6046233	2	0	99
11269211	Q1595443	40	34	716
39341940	Q5364517	176	170	327
13433776	Q140854	899	68	856
31550461	Q2559197	60	17	213
41850510	Q8988208	3	2	119
17591097	Q373291	42	30	689
17197213	Q5027771	310	2	464
7515869	Q7130883	18	3	180
3083598	Q9790	157	133	849
23533453	Q7821541	115	29	715
2159992	Q8032021	11	8	190
25262132	Q853876	219	99	978
9891189	Q483667	13	3	453
36875582	Q6734969	7	3	861
16433590	Q986583	54	38	535
21499978	Q1622235	28	2	552
36941677	Q4694864	0	0	83
1416542	Q1635302	77	48	104
41498955	Q15469774	2	1	131
13333037	Q852038	10	0	171
29399645	Q4548614	71	52	347
647674	Q308805	156	120	2677
19737476	Q492100	112	106	195
925636	Q1232048	144	128	1183
44464696	Q30257	94	69	502
37174696	Q5054472	35	18	2368
177418	Q3312125	72	28	756
12470712	Q1588129	10	0	186
42876094	Q16974702	2	2	248
13743516	Q6141115	20	13	246
42795294	Q11119082	15	12	201
8524039	Q1931708	279	207	1638
36401252	Q10822653	9	4	459
51001239	Q26785566	5	1	51
32608236	Q7769253	11	8	374
33171748	Q11172960	1	0	129
3306787	Q1022225	91	79	475
31373244	Q5925053	6	4	100
6060491	Q197223	55	18	1432
410487	Q698931	234	104	2335
5838863	Q6653525	8	2	736
27584976	Q8070604	6	4	211
27733412	Q8039225	7	3	726
12576507	Q4634579	32	25	156
5545456	Q587083	49	37	1391
2196608	Q5639387	375	147	1873
10990728	Q5091202	6	2	90
81262	Q46913	3024	2033	10500
523883	Q1154813	206	18	8373
1452281	Q1368391	15	1	1037
8604558	Q840312	27	19	3432
33283948	Q4451353	307	276	424
38486479	Q4177257	2	1	1812
20640156	Q4639083	7	4	42
297939	Q707146	43	36	545
6635	Q1045090	47	1	17743
3656390	Q855991	182	96	495
28985051	Q8050987	46	39	119
3158074	Q835015	20	13	436
12513921	Q4549859	232	212	214
29430265	Q5099821	37	23	510
27231257	Q7863462	87	41	434
48447961	Q21279769	447	6	5229
7757812	Q615440	159	122	923
8329417	Q713154	6	4	848
38082343	Q2274358	1	0	174
1562297	Q1141990	120	84	1198
15696380	Q1071605	10	5	975
38054296	Q2044229	2	1	125
29021646	Q23817	11	3	1159
40645487	Q16839266	1	0	111
322065	Q1062120	205	184	404
42750911	Q16924309	217	154	210
25010358	Q847852	51	47	121
12535364	Q1766226	444	15	136
7328180	Q7267628	31	2	384
17825161	Q3270149	70	2	4177
40220461	Q14185797	31	31	134
8754603	Q2045487	5	1	57
4859696	Q855782	10	1	68
774173	Q450370	366	342	1497
20447747	Q7739263	92	81	658
33523084	Q3886758	296	273	444
37461397	Q6599110	4	3	131
39229017	Q7209784	11	6	302
8641173	Q3048184	57	8	205
5405	Q148	113195	19152	534322
12590305	Q1564663	8	7	126
27716761	Q15927652	36	23	270
4634315	Q5374492	3	1	75
30108218	Q4392565	38	21	1572
18196892	Q702760	6	4	178
5883261	Q311205	177	53	2523
6560556	Q868179	228	119	7240
11078673	Q844090	35	7	447
18358542	Q5654441	100	37	1128
14722664	Q6674024	0	0	32
45258217	Q18920696	16	6	523
22899597	Q1569359	186	79	239
343616	Q701326	75	61	2511
24764068	Q7271142	4	0	340
47698327	Q20972824	12	2	352
38175329	Q5619691	3	0	98
2701049	Q2566922	453	150	7407
46325725	Q10852429	2	0	542
5240797	Q279707	11	9	151
36347241	Q7979752	1	0	75
5674547	Q1075507	18	10	316
23624959	Q7335346	9	4	466
34398893	Q6600260	46	43	187
34789947	Q803694	14	8	488
20844879	Q1073420	297	208	1420
1060260	Q1688860	90	57	2376
30775690	Q4997960	10	1	151
26060825	Q8053962	1	0	118
6462779	Q909230	165	120	3642
5579511	Q1186484	85	84	240
21096361	Q492671	153	49	2660
32427135	Q699224	86	32	16647
38477476	Q4414390	118	91	445
181848	Q210326	373	260	1576
17574041	Q1518088	4	4	398
10128884	Q1037821	92	12	577
23279721	Q9078542	6	0	252
50952503	Q10881501	13	4	340
38464319	Q4310953	3	3	52
1046013	Q197813	207	192	1159
343460	Q7288	47	42	428
962374	Q5765389	15	12	924
14293220	Q708330	55	44	373
4850921	Q835396	307	243	5767
322622	Q1575470	283	63	6361
11398356	Q697751	43	34	453
1484327	Q660751	540	302	5223
38367829	Q4871255	63	55	289
16758705	Q4871188	9	7	267
35094010	Q5952205	104	22	431
38493632	Q4505429	45	44	102
30170747	Q4766600	25	15	354
20113632	Q4752556	182	45	2973
42014762	Q15991262	118	85	383
6796367	Q1923395	4	1	132
2868004	Q7265364	5	0	276
343359	Q83973	150	115	9119
9466870	Q2983967	302	276	613
25804195	Q5937586	14	12	127
33593702	Q15703466	150	137	209
20598660	Q5535058	7	1	181
27594546	Q7163046	4	2	230
33463561	Q836423	16	8	206
40444896	Q11093549	15	14	65
1444046	Q4380197	69	54	1755
17229756	Q5100222	309	142	1402
4583611	Q290108	69	14	214
41649115	Q19800	2	1	145
26328133	Q8044629	43	43	53
35904612	Q8059954	2	2	170
11408137	Q2380718	32	4	2043
8685482	Q845135	283	192	2117
34132769	Q6747842	0	0	225
31095642	Q93353	223	215	337
13680146	Q1822758	1	1	81
38295447	Q3565516	2	1	47
27293478	Q5866461	22	20	145
26623332	Q578448	36	27	203
17440141	Q5613634	36	25	446
39146855	Q16867675	2	2	68
6428342	Q1077971	160	124	479
232420	Q1622777	139	16	5311
10171448	Q16276264	1	1	545
19740705	Q1340019	96	91	239
4186148	Q5895634	14	1	395
6519866	Q5591099	11	9	189
336576	Q434207	71	50	704
31383309	Q8053608	8	1	109
