page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
3691341	Q1069950	86	8	629
23119395	Q942834	130	121	260
10095598	Q5027847	164	157	342
4683551	Q713685	298	0	435
5151778	Q8044301	2	1	166
12360121	Q585544	43	34	380
7618071	Q5284057	52	40	269
24605761	Q1062205	215	207	462
25651177	Q5100805	3	1	1431
13078123	Q7967546	16	2	84
23633651	Q5009744	49	27	741
36115414	Q7496839	58	2	1867
3669163	Q1290835	17	11	183
11016200	Q16216855	18	4	222
50642156	Q24258829	1	0	180
35691169	Q549872	43	42	372
2076936	Q266521	276	8	2910
25747023	Q1061585	7	2	273
34551346	Q5937020	16	16	92
26539286	Q28417224	61	57	64
16676096	Q2273408	373	65	914
995404	Q580624	300	291	1181
1695424	Q515817	374	202	2386
10239590	Q11061654	40	2	428
41663682	Q11094924	1	1	87
38068590	Q2118062	2	1	55
45165151	Q19839591	21	0	173
2426105	Q3529179	63	42	701
6850197	Q1208121	142	132	631
37920101	Q613288	136	129	285
919288	Q6035477	11	10	337
20754760	Q7523	809	225	86537
47600362	Q8292904	39	25	217
25348222	Q10747786	54	50	316
1371278	Q6730865	6	3	315
89786	Q6690389	88	39	627
9362958	Q1028631	70	7	1296
4766276	Q1194963	103	88	1002
46196776	Q10879728	33	20	246
31258089	Q294457	220	215	241
55023	Q5066	879	393	13755
2646247	Q2287033	30	28	1323
24749151	Q1318786	139	134	256
15286852	Q752888	17	7	366
21518150	Q1542166	79	6	615
23675004	Q4998399	27	14	947
26499049	Q4753461	5	0	213
8703563	Q261743	127	26	480
19317030	Q1105702	405	2	12219
6999598	Q697538	23	16	473
18268314	Q359599	8	2	109
36539990	Q5099912	166	1	188
42636875	Q10554882	19	9	233
7795926	Q814242	268	131	1846
1304868	Q1200861	234	213	1822
42873636	Q16222604	11	1	479
40827580	Q7901429	6	6	306
13361990	Q5021778	59	27	1227
34790455	Q866633	17	11	1315
18604863	Q5099970	22	20	343
166408	Q43684	3909	2688	17052
22899968	Q16874741	0	0	50
3123579	Q1185345	70	58	3815
51535503	Q28187342	224	208	84
18407397	Q2003901	19	3	704
44925568	Q18757813	6	2	562
43200561	Q18127292	5	0	156
2959815	Q9886	144	125	891
2072979	Q1028091	325	310	796
38190708	Q2857535	2	2	53
45555681	Q19457620	254	89	362
6566601	Q1185335	69	27	1220
5361005	Q2735963	138	2	32827
29962387	Q5090739	126	106	1519
