talk_page_id	talk_revision_id	talk_page_title	talk_is_archive	art_page_id	art_revision_id	art_is_redirect	importance_rating
37645956	726663311	18th_Central_Committee_of_the_Communist_Party_of_China	0	37643298	777606660	0	Top
16312435	739337482	1959_Tibetan_uprising	0	13054492	773606999	0	Top
4681245	753926864	1972_Nixon_visit_to_China	0	2994571	775199722	0	Top
168333	740210417	2008_Summer_Olympics	0	77745	777007559	0	Top
1040	771691628	Abacus	0	655	777164645	0	Top
159422	777060587	Acupuncture	0	1537	776458857	0	Top
12207772	759549593	Agriculture_in_China	0	11953685	776020532	0	Top
10978054	757390035	Along_the_River_During_the_Qingming_Festival	0	5556566	766622324	0	Top
26130263	622351670	Amur_Acquisition	0	25275009	778138583	0	Top
319781	743951586	An_Lushan_Rebellion	0	318500	777802766	0	Top
2193873	743967293	Analects	0	293226	777395551	0	Top
29644266	600791915	Ancient_Chinese_states	0	29632093	776430778	0	Top
499318	744274398	Anhui	0	105059	775528438	0	Top
45655735	715096196	Anti-corruption_campaign_under_Xi_Jinping	0	45655698	776602959	0	Top
873941	744481800	Anti-Secession_Law	0	873936	762907510	0	Top
9704620	625725341	Arts_of_China	0	9704619	760136308	0	Top
17229145	745620710	Autonomous_regions_of_China	0	976805	774903869	0	Top
21069403	748232930	Bamboo	0	39029	777987963	0	Top
2656297	748055089	List_of_Chinese_wars_and_battles	0	841285	777905754	0	Top
18603697	767881763	Beijing	0	18603746	777283385	0	Top
22297727	690704493	Bohai_Sea	0	22297726	776903505	0	Top
160936	761108880	Bopomofo	0	13564463	773261060	0	Top
28910195	687784128	Borders_of_China	0	17259835	775458499	0	Top
286860	777975710	Boxer_Rebellion	0	60520	777749072	0	Top
4289	777896594	Buddhism	0	3267529	777866762	0	Top
4469	712719129	Buddhist_philosophy	0	4468	772745755	0	Top
1601635	717726201	Cai_Lun	0	140955	769039157	0	Top
889205	749430122	Cannon	0	7053	776350998	0	Top
20390083	765556101	Cantonese	0	1092292	777489015	0	Top
1794538	630797739	Cao_Wei	0	277560	774586276	0	Top
352154	749451758	Cao_Cao	0	241636	776462873	0	Top
9023701	750383848	Changchun	0	250126	774570441	0	Top
1606448	777010707	Changsha	0	203299	777797575	0	Top
7991329	700692029	Changshan	0	232420	776560796	0	Top
285197	750406085	Chaozhou	0	147447	778113413	0	Top
1318195	751598725	Chengdu	0	170375	776203957	0	Top
17297289	649299566	Chengdu_Research_Base_of_Giant_Panda_Breeding	0	17293357	765223825	0	Top
1006105	750690961	Cheongsam	0	232384	771297878	0	Top
6870	776467411	Chiang_Kai-shek	0	6859	778190738	0	Top
63917	776196134	China	0	5405	778065640	0	Top
255973	776358330	China_Central_Television	0	77894	777098828	0	Top
10298456	745692017	China_Railway_High-speed	0	8943954	770068924	0	Top
36426575	690350193	China–Russia_borders	0	40689602	575477824	1	Top
10196562	561194674	China–South_Korea_relations	0	7714083	775778661	0	Top
26301117	765796395	Chinatown	0	38972	776952314	0	Top
1172383	717731634	Chinese_architecture	0	964617	777414094	0	Top
1111312	774335371	Chinese_art	0	66297	778036994	0	Top
407696	777811597	Chinese_astrology	0	159669	769262736	0	Top
6217972	699117755	Chinese_astronomy	0	1524517	769880143	0	Top
294275	750945488	Chinese_Buddhism	0	226808	772432142	0	Top
147305	769942860	Chinese_calendar	0	6966	774438022	0	Top
27424313	668969254	Chinese_calligraphy	0	1119765	776380755	0	Top
333358	729151759	Chinese_characters	0	91231	776283674	0	Top
309121	771359003	Chinese_Civil_War	0	54422	777609378	0	Top
1206870	620805395	Chinese_classics	0	7242	777615159	0	Top
1764323	680067579	Chinese_cuisine	0	6583	777197806	0	Top
157209	717731657	Chinese_culture	0	156154	777211954	0	Top
89790	678343381	Chinese_dragon	0	66203	777159982	0	Top
266124	551080629	Chinese_era_name	0	23650107	737265755	0	Top
3206751	756941897	Chinese_folk_religion	0	1491156	777105774	0	Top
2491279	691823517	Chinese_grammar	0	321538	767659960	0	Top
1967508	776266735	Chinese_herbology	0	415070	776797388	0	Top
5827	775766918	Chinese_language	0	5751	778224009	0	Top
861601	750960759	Chinese_law	0	37568	776418938	0	Top
385573	773443448	Chinese_literature	0	153825	775164570	0	Top
485461	766687613	Chinese_martial_arts	0	485429	777877852	0	Top
1045853	623276316	Chinese_mythology	0	145957	777164575	0	Top
1753665	750961273	Chinese_name	0	163247	778016878	0	Top
192436	477659330	Chinese_nationalism	0	153223	773143520	0	Top
439397	776891941	Chinese_New_Year	0	19682699	777171727	0	Top
2082605	608642304	Chinese_painting	0	277584	775522938	0	Top
5347595	761359246	Chinese_people	0	372983	778135023	0	Top
697650	685899182	Chinese_philosophy	0	5822	776504029	0	Top
256595	523449106	Chinese_poetry	0	256577	771962887	0	Top
24061607	439360286	Chinese_script_styles	0	19175349	774505374	0	Top
2224677	741663638	Chinese_tea	0	1515930	769425938	0	Top
385428	723162968	Chinese_unification	0	61106	777537349	0	Top
21372920	764037267	Chinese_zodiac	0	21360689	778177957	0	Top
171760	751044746	Chongqing	0	171752	777792231	0	Top
65754	753812641	Chopsticks	0	24346064	774948930	0	Top
102340	726550658	Cinema_of_China	0	10791	775830489	0	Top
1407430	729299673	Cinema_of_Taiwan	0	422000	775441722	0	Top
7827699	694508635	List_of_cities_in_China_by_population_and_built-up_area	0	5361005	778032465	0	Top
13105951	751789110	Collections_of_the_Palace_Museum	0	341991	772973863	0	Top
146614	777639177	Communist_Party_of_China	0	7175	777989417	0	Top
5821	773883644	Confucianism	0	5820	777265833	0	Top
5824	773034869	Confucius	0	5823	777791473	0	Top
4860882	634012856	Confucius_Institute	0	2452214	774873245	0	Top
529291	751114251	Constitution_of_China	0	163574	772986625	0	Top
21901329	336855675	Cross-Strait_Economic_Zone	0	21773666	667279429	0	Top
21035388	774307035	Cultural_Revolution	0	45311	776753383	0	Top
224294	769003656	14th_Dalai_Lama	0	20238168	778174531	0	Top
1481033	748579244	Dalian	0	250109	776215486	0	Top
2934532	717743504	Demographics_of_the_People's_Republic_of_China	0	34899907	479067702	1	Top
39303	777963194	Deng_Xiaoping	0	8205	777790160	0	Top
267486	758839307	Dim_sum	0	100640	777768164	0	Top
9535643	774057368	List_of_diplomatic_missions_of_China	0	7563575	776658886	0	Top
