page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
1006	28975	5619	87	2681	29
1034793	0	0	0	0	0
1436	125397	20840	197	13229	68
3775581	39972	7658	119	3475	30
1073078	1284	275	8	32	2
1178	44344	8223	124	439	8
188624	5063	914	33	440	19
1208256	748	91	5	66	3
81858	1579	448	15	371	12
1407041	10013	611	13	181	6
345969	369	53	2	38	1
1078	119439	33121	345	2794	43
58970	46318	6130	82	932	10
59043	610	81	5	68	4
1427706	1038	484	11	236	5
5095599	1358	572	12	365	6
929844	1102	248	8	164	5
144420	576	45	2	34	1
640155	289	80	4	65	3
8203914	889	58	5	58	5
2875411	3458	773	10	339	6
3390	143873	13578	315	3151	57
68889	3500	577	16	161	7
90469	33342	7539	98	203	4
4768	25301	3349	55	1245	26
228980	10086	1505	42	168	8
192648	127630	17225	147	4795	15
53682	36589	5662	99	0	0
454961	5536	439	16	0	0
6623	11088	3521	87	1664	42
1484434	23555	2788	47	2024	27
800012	468629	23020	192	2570	30
17181248	24099	3601	43	1189	15
231407	742	222	5	84	4
8551	122861	21413	245	12863	91
1577256	489	37	2	16	1
77712	83796	13401	179	5124	56
61345	10560	2089	48	1077	25
9910	37264	4106	64	969	17
8202290	291	41	3	27	2
8203830	704	39	2	39	2
9840	54551	5896	109	1734	37
1447616	841	12	1	12	1
23671899	13237	1826	33	564	11
277962	32106	6568	88	4178	40
9978	18497	3260	49	1667	16
9902	46052	2857	50	902	15
4345275	23187	5942	68	3221	11
9911	33748	2235	59	1335	25
9839	23227	1902	45	616	20
6187180	2192	511	8	477	6
21920776	18376	9341	105	96	3
184504	3531	843	23	466	9
72019	469	136	3	136	3
938607	3526	793	13	41	3
762802	8668	1224	29	657	13
3666372	469	143	9	114	7
413448	4114	1014	27	286	13
630727	302	43	3	32	2
166531	2645	443	17	137	8
1035861	224	29	2	29	2
1271203	1111	288	4	274	3
59506	3610	861	15	748	14
14022221	533	47	1	0	0
7338685	2847	92	4	0	0
61626	1023	78	5	12	1
5042765	117684	12145	239	2992	32
11932491	18391	3493	50	2903	32
13873	22256	8396	189	5974	123
342561	2555	452	13	191	7
15889	2697	674	14	560	9
7388	124230	3961	77	2053	30
53835	32589	10424	158	6237	76
14436	52893	7929	179	5058	91
13446	51132	7217	109	3563	48
193857	46290	17423	331	12915	200
69788	19164	2910	29	2173	10
2851	7154	572	13	87	4
302441	13626	2238	32	993	1
213629	385	96	2	96	2
313892	10507	1415	39	602	21
144015	1698	186	11	96	5
23880464	7757	1760	14	1555	9
13966	8795	678	19	503	12
3939769	376	135	4	121	3
4987163	176	20	1	20	1
24214508	3443	1169	13	1114	11
3261343	273	27	2	11	1
15192	39644	7963	66	6238	31
15088	38314	2356	54	1013	24
1863187	920	109	7	93	6
9282173	525810	71350	993	15185	100
1226858	1168	134	4	110	2
16118	79250	14253	130	10258	64
75143	33927	1726	57	893	25
16043	211881	34098	434	13088	83
10918021	2004	702	16	143	3
8503190	1311	213	10	169	7
4784969	2276	76	4	38	2
304141	31988	3614	64	2704	33
16147	30682	2011	46	1744	36
166200	4106	1266	36	733	18
16161	10776	1375	38	1026	30
52978	6077	1191	22	892	16
263185	2096	483	11	434	8
1230430	932	90	4	49	2
4774439	10676	1152	24	390	9
25955086	195716	34017	654	14269	138
853423	27625	2966	41	777	6
16224	33077	3409	61	339	9
5656053	334	57	4	39	3
16121	44718	5407	94	2098	46
623231	16024	2744	56	2011	32
15624	174482	34102	491	16753	180
16905	88107	23859	304	5426	101
544634	1605	149	4	138	3
20700	1598	445	11	392	8
642147	12127	4307	91	2505	51
149173	0	0	0	0	0
16881	35713	14378	264	3283	60
1553832	792	65	4	35	2
403882	7509	2644	57	416	9
72346	13389	4926	96	2477	50
163565	2874	422	17	346	12
877154	4337	1267	28	770	12
33610767	30421	8246	102	4537	48
5541243	259	0	0	0	0
8187257	346	43	2	0	0
70577	12985	2977	44	1748	24
18630	133419	20059	136	3159	13
221545	3547	598	26	359	16
1258707	318	17	1	17	1
4920700	361	131	6	106	4
19445	30906	5579	155	2508	72
3912	7289	539	3	161	1
361868	562	33	2	19	1
151826	8253	2863	64	629	14
44893	5634	1400	35	136	5
645381	13430	3502	58	1288	22
618162	4202	1545	22	203	3
173229	1015	208	8	170	5
19570	12929	3875	90	2733	54
555748	13457	2643	54	1416	24
294492	15955	3242	43	1703	14
19518	15022	4146	93	3767	76
156363	39801	15838	42	2611	26
6229287	96	0	0	0	0
