page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
4754483	Q726477	116	3	873
30864734		4	4	49
18732653	Q4766869	12	2	563
6446065	Q4828826	20	16	417
2987083	Q742636	150	87	498
784053	Q1882683	15	8	631
26823852	Q2115595	166	158	277
84625	Q440256	1762	27	38229
3201555	Q1562539	68	56	489
4396207	Q7503399	25	14	365
17265086	Q1391447	19	8	205
5283990	Q2903815	124	105	283
58202	Q574641	423	161	14933
1480596	Q609819	464	55	5660
26918982	Q2747834	179	155	1139
61768	Q377485	893	150	44048
25991593	Q7451867	56	31	951
5462114	Q2892511	36	3	504
18313431	Q5615847	5	2	303
12541	Q840378	433	169	17308
180192	Q6981284	67	13	2083
49602360	Q23022037	3	0	124
26823658	Q3409467	167	156	274
32195317	Q6262948	9	4	466
26824048	Q7253943	162	155	213
8431288	Q7317646	9	8	293
406809	Q975574	758	497	3969
26823557	Q4207899	163	155	315
83782	Q2744776	7	2	593
10252936	Q7068643	3	2	134
1829237	Q853932	41	0	688
17384731	Q325772	7	3	712
806060	Q30973	90	12	2442
430478	Q1356549	1087	297	5910
26823585	Q3545484	167	155	406
234517	Q217762	1268	2	4140
7897160	Q690175	30	10	4442
18955610	Q2893272	120	104	395
11488140	Q4707766	4	3	199
25552848	Q7698585	7	4	366
12462903	Q1490826	3	2	26
6043033	Q6793686	68	54	307
3364466	Q6121156	51	0	3296
24369821	Q99706	18	0	187
410210	Q254798	93	6	27442
6524477	Q8051295	8	5	344
11778695	Q6863341	8	7	287
191497	Q194808	864	446	31356
762379	Q151618	403	58	1774
589731	Q1466089	837	574	5877
161014	Q178342	798	65	69918
12784131	Q4695096	4	2	79
1150530	Q17018524	7	5	310
2721962	Q5576046	4	3	1315
142725	Q5349597	106	97	385
64852	Q727156	286	2	9361
2893699	Q7405691	3	1	353
10045243	Q6743851	9	0	443
29839327	Q6818340	68	16	308
8402721	Q2895595	8	4	317
1866695	Q2898520	83	60	531
16082	Q5687	1008	138	50552
19404136	Q235113	2777	145	62495
29946990	Q7055454	5	2	238
611588	Q14509616	24	2	470
9109252	Q3058986	109	97	460
4763249	Q814437	75	57	1039
33057346	Q3490873	4	1	163
213629	Q384859	52	26	607
28489962	Q1351172	4	3	204
20557339	Q3271973	176	4	24160
15503842	Q8052143	165	9	620
5580421	Q5695827	123	1	1282
29379313	Q7861980	55	12	1404
544744	Q2670778	308	247	2994
58238	Q1320061	17	6	247
48465806	Q22096682	3	0	457
23927021	Q639505	39	13	1417
19149988	Q12294317	39	36	272
1769186	Q17525437	344	101	4232
26824022	Q1326484	165	156	262
12481231	Q6010662	8	5	590
30345	Q43290	4253	2007	60995
41430405	Q16209857	1	0	138
12671321	Q4661800	0	0	210
37620888	Q4903428	14	0	293
49812343	Q11698952	222	23	699
1705417	Q2903614	148	119	1614
24287868	Q6642068	21	2	361
557203	Q2002789	38	10	2685
471326	Q203251	151	56	9055
46381652	Q19866470	7	1	2825
766973	Q6747441	247	5	500
40930720	Q16952999	6	3	256
3939079	Q2849223	5	5	195
18257729	Q12409960	92	76	674
3524756	Q366059	157	103	1898
2000158	Q7567906	7	4	213
12329588	Q2899407	6	3	280
19821039	Q4802678	7	1	133
13532749	Q3409455	162	155	377
19459122	Q7698651	4	3	139
30491713	Q5553120	47	40	144
4071884	Q7126586	3	1	211
8539	Q6674	1718	24	61394
23434962	Q7743129	6	3	280
15916131	Q2899124	81	52	528
28909460	Q7698526	47	4	373
10416402	Q2909536	389	262	1115
22425144	Q7698533	26	10	864
6744873	Q2917554	248	107	5326
8706675	Q1163394	9	4	340
7594055	Q1303905	75	51	1050
713098	Q1239302	2	1	2010
16346188	Q606025	8	3	316
19485337	Q543549	38	11	1013
1288	Q3092752	701	53	38061
26824012	Q594331	160	155	208
38088014	Q16976674	29	14	307
3385272	Q2909157	424	246	2756
11454978	Q1231296	23	14	368
12348099	Q7745407	11	2	203
172824	Q212944	556	74	12858
2875471	Q1811282	78	58	1638
11004586	Q6828881	16	6	295
37223313	Q4701260	11	2	201
51664795	Q27049825	2	1	208
342248	Q1123697	98	32	6593
37478920	Q7492908	24	7	295
24124953	Q6303192	4	0	88
9543062	Q6915856	5	1	361
70290	Q7730	445	37	20628
4031836	Q6547855	157	107	549
4354825	Q259609	23	8	347
27557787	Q7645256	58	33	486
130620	Q13964925	134	116	644
3892002	Q2909690	52	46	1667
405387	Q671496	483	129	1252
2017979	Q16850137	15	2	618
4042292	Q927246	68	56	496
1204058	Q1094510	132	16	1432
228491	Q1194545	90	16	15515
3172982	Q7610257	22	2	853
7565916		2	2	59
6944090	Q4464905	5	4	398
3547295	Q6812038	75	2	4794
718320	Q231093	185	3	193646
4022176	Q6284695	8	1	1283
5407565	Q2101078	276	4	1758
3242323	Q6828004	2	0	300
12622931	Q4942332	21	0	1124
1929679	Q549535	81	23	631
519369	Q6916131	51	46	246
90692	Q153034	319	24	8816
316217	Q62788	173	61	16986
11536067	Q6915999	8	3	63
23806319	Q6821301	3	3	266
6839960		12	2	138
7989809	Q7558783	9	0	146
3804748	Q2907398	14	7	585
13324757	Q6092220	1	1	209
1714758	Q711673	166	4	1898
209643	Q161396	616	97	53561
4350828	Q622578	3	1	306
12346293	Q1725708	7	5	171
1667324	Q90371	12	2	201
18133363	Q13515714	0	0	152
4581437	Q1060878	116	66	21023
17687157	Q6703190	0	0	181
15900647	Q2907264	81	66	524
9365883	Q2907254	117	36	1052
1260772	Q1076110	141	64	57879
51352804	Q26503682	1	0	221
3456812	Q7431022	204	103	684
11256495	Q6189037	3	1	725
2987041	Q1304973	194	116	593
37987966	Q7698450	2	1	196
626831	Q1679661	37	3	1792
10638819	Q5179258	2	1	687
12341937	Q2090979	13	9	1131
283865	Q152981	363	27	13361
578911	Q279181	62	7	1054
8913769	Q8052595	54	33	377
21287249	Q4886759	20	13	502
14618027	Q7862011	14	10	322
5753854	Q4943121	3	2	235
4793816	Q2524799	132	53	444
12767105	Q5405171	101	79	336
8931878	Q5186790	38	30	544
11552511		0	0	18
2228602	Q843360	500	42	4750
6787576	Q1901584	7	1	123
19846019	Q7412573	2	0	158
182557	Q2782381	19	7	845
35613178	Q2857943	19	7	193
19150899	Q4680863	19	7	824
17454665	Q7698730	10	4	415
9076204	Q7383179	111	104	565
45408449	Q19664651	28	19	183
3891233	Q1207567	658	12	29453
52523382	Q27978773	2	0	326
22050606	Q3563544	1	0	200
5748820	Q5987810	3	2	170
2380739	Q1096108	33	4	1490
2730714	Q7009603	7	2	349
6367280	Q2906991	9	6	311
8258494	Q1062217	10	7	140
619694	Q387422	553	358	3413
4920700	Q4530047	19	6	563
8906020	Q191219	22	9	171
11473533	Q58701	893	74	106006
23146011	Q6777712	6	4	508
9367157	Q5361839	10	1	249
20759814	Q2763085	62	53	2215
33816830	Q6909678	12	8	346
19485649	Q5376572	4	1	277
26800500	Q1630080	159	155	422
44707614	Q18787968	2	0	507
5291740	Q4931572	3	2	72
823743	Q262109	313	82	12329
9576171	Q12408351	76	55	400
33240234	Q1262883	3	0	329
2324946	Q734277	348	282	1936
22426886	Q15996530	20	2	203
33220372	Q5500911	3	0	355
3978903	Q134101	214	7	6150
1688496	Q8071514	185	139	449
10854041	Q1478110	33	13	2257
46191080	Q19666093	97	64	434
34272	Q8641	4865	614	40768
779354	Q2910090	26	22	414
13796961	Q12409633	7	4	227
13459408	Q5326800	1	0	286
9253660	Q2914763	6	1	576
17406588	Q7825362	2	2	152
53413569	Q28921883	5	0	393
620823	Q378696	8	2	3139
8547	Q42614	968	198	29030
17926948	Q1132193	6	5	283
6100803	Q983251	19	14	529
2363409	Q16726185	354	93	3231
3843803	Q767434	13	5	1030
30802803	Q4899025	46	3	370
2840675	Q6916083	1	1	172
1676177	Q10988737	6	2	816
44278950	Q18121227	1	0	97
11202740		17	9	277
39136342	Q6189947	8	2	447
13612200	Q2975864	117	76	521
21190550	Q864901	135	1	8449
787785	Q1555352	112	8	1335
18364149	Q6821341	284	225	621
23011329	Q2972626	3	0	131
3079112	Q16207774	33	21	1345
10548417	Q6274326	59	15	560
18612946	Q8068765	12	10	285
10828595	Q2574448	6	2	390
17423	Q48685	1050	486	29626
15088	Q188794	1023	224	34608
1683500	Q1418058	228	179	2141
11105683	Q2148243	28	15	1223
10318533	Q8051050	7	6	271
24814142	Q4759445	543	9	1157
10595260	Q5072562	31	24	220
11772025	Q4805203	117	103	407
37481424	Q7727526	2	1	123
4378	Q181620	781	238	10594
31437831	Q5602422	10	1	619
19169875	Q7106468	0	0	128
11478837	Q942338	298	10	374
22517642	Q6816576	48	41	179
2411765	Q2414921	10	4	462
2337661	Q383025	13	0	349
2175190	Q2905227	48	31	471
33940116	Q5414389	6	1	207
45468148	Q19427235	26	0	949
12395245	Q1489217	163	155	1144
2906848	Q14875189	29	10	1155
13846	Q2890042	254	76	2674
2849418	Q5362053	5	4	140
1113889	Q2063204	122	7	6982
1923348	Q5238096	23	13	828
7687549	Q7451622	2	1	177
18484683	Q5160629	8	3	266
5976469	Q5027518	22	2	242
6323650	Q2893910	120	105	591
12355488	Q546842	13	9	872
2819388	Q3194287	73	43	567
323294	Q152578	120	33	1327
3767520	Q5160628	12	6	452
348787	Q657993	1021	453	11119
11892665		0	0	13
7897399	Q327956	6	1	239
37481657	Q5735724	6	1	325
10787207	Q4711532	5	2	279
26823839	Q4207855	163	155	752
1603819	Q1784980	77	37	2711
47433409	Q20981329	10	2	618
33988545	Q5288821	2	1	110
10021548	Q2778105	16	12	279
3505085	Q5067800	9	7	247
6632138	Q2738933	17	9	1046
3829172	Q5415073	22	0	960
17148157	Q2236669	25	14	795
21452802	Q865323	29	21	280
22935867	Q6956427	14	4	2631
3847550	Q2360154	119	103	317
15399382	Q11211773	3	1	179
18612527	Q4668811	7	4	326
9386873	Q8052836	70	58	99
7397713	Q496417	304	153	3712
2509546	Q2565951	38	19	1968
22063880	Q429069	435	8	2551
26659317	Q7739453	49	2	481
