page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
473006	Q313216	184	95	5160
9618444	Q1609512	25	13	2101
4968758	Q2916186	46	31	750
89444	Q487330	884	20	41206
11307076	Q7150747	80	0	172
11275553	Q5644035	18	12	222
1823869	Q1290338	521	238	23959
2443170	Q75043	152	76	564
4477688	Q2918095	667	243	8278
9399522	Q1695850	73	26	1321
702413	Q1093644	288	79	1099
2497820	Q3185089	5	3	102
6820459	Q6399222	19	6	366
22692015	Q4829434	37	22	256
7807966	Q7412581	7	3	120
8125699	Q2334097	14	8	227
9120876	Q6172793	8	3	208
1203091	Q2909593	145	122	530
1414158	Q1610507	40	24	326
10796065	Q4765252	114	102	225
37273064	Q7418236	41	15	310
9047919	Q16205089	2	1	125
30963276	Q2375542	1	0	58
28670217	Q882685	121	69	10398
11541238	Q4668754	4	2	116
12502767	Q1205614	12	0	132
20928204	Q7421712	8	0	527
172824	Q212944	556	75	10903
15441756	Q5154240	1	1	47
6052290	Q794922	70	62	565
37911322	Q18639275	6	3	275
329971	Q508752	319	2	6537
1349289	Q1349033	334	158	5300
11778695	Q6863341	8	7	224
4624933	Q17002546	12	5	546
59459	Q2117603	1135	711	4124
13945220	Q7141547	3	1	82
10773237	Q175926	97	14	4863
21193199	Q4663662	1	0	95
23386495	Q5523667	12	6	390
4768	Q848599	879	569	20039
34068800	Q6498935	14	8	1122
38577	Q168225	1451	458	19305
20715310	Q5072564	9	7	130
3780716	Q2907667	169	123	247
27440962	Q7994884	9	5	388
29154635	Q2920273	2	0	91
9362698	Q6490824	9	2	1084
25107396		0	0	10
5547215	Q2136320	72	54	274
1023085	Q3184666	360	210	930
1034793	Q319902	403	208	1382
14484375	Q2904179	106	61	1558
19760876	Q7530693	2	2	146
31437602	Q6354017	4	2	114
18520180	Q4897525	2	2	82
45528523	Q20050751	32	20	296
3669420	Q1391548	63	5	433
26823832	Q3409477	163	156	224
9118641	Q12404314	3	2	329
210193	Q7186003	9	1	436
6113386	Q1507676	71	12	997
12221467	Q2777837	91	30	296
8609346	Q2917980	70	17	792
36689878	Q23806548	0	0	302
2772964	Q4874823	16	3	293
12416006	Q7729584	5	0	77
2635378	Q619484	19	3	470
18496130	Q4897538	8	1	186
15231977	Q6405720	10	3	273
1691441	Q5207153	132	109	451
1671363	Q748801	246	151	4409
19139941	Q5243804	7	7	170
20596579	Q8017768	8	2	311
3058925	Q12408871	46	26	328
886421	Q469761	88	2	2072
10903620	Q1418380	48	0	3321
8190588	Q966707	17	6	780
5504166	Q724258	8	1	113
68592	Q4685964	4	0	149
356138	Q707554	51	8	1150
16944073	Q6189923	25	1	224
6614941	Q5302567	10	7	456
4342452	Q51677	473	120	4321
4838485	Q85843	330	24	782
18587548	Q5160621	7	2	339
142494	Q154773	2278	1089	12329
2721962	Q5576046	5	3	860
6672654	Q7661942	13	6	384
23323129	Q6189744	15	3	275
5466420	Q372554	23	7	280
9897099	Q2138498	38	3	953
1857493	Q5104223	41	3	1115
4674007	Q1164509	75	56	489
316934	Q5402334	12	1	625
11442666	Q2896205	35	23	159
8368657	Q1163232	3	0	106
142725	Q5349597	106	97	408
26823836	Q1628527	162	155	360
2323468	Q672578	184	156	2115
11277616	Q7411700	6	1	101
23698049	Q4690560	6	1	728
12472353	Q1324937	29	2	268
50151629	Q1345520	2	0	288
21504959	Q14325705	37	7	1773
20031299	Q4833631	35	10	598
287393	Q2892749	52	5	838
20299838	Q1717144	9	1	143
30074296	Q5186854	94	9	2271
6497987	Q2909160	25	4	1019
339739	Q2354222	593	172	10399
13063127	Q1747451	6	4	178
