page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
765	159921	8339	177	3725	55
27158894	47441	7698	143	4308	64
2965	83245	17315	304	4140	77
55313	43703	5905	154	3829	98
18914017	161696	23352	341	9691	119
74240	64151	13763	220	8807	128
965323	18116	2072	46	1432	16
65555	26808	4349	108	2058	40
57688	80899	19613	167	14806	113
44905	100281	10760	241	6090	116
64976	197949	35248	382	15957	177
9028799	121975	21883	373	7004	112
4531	285739	58867	456	21204	147
18978770	49985	9342	162	4903	65
839943	34514	3830	75	1487	48
70547	61178	6526	192	3170	78
19347033	37464	6122	128	2436	68
233082	41052	5043	105	1296	40
105219	180679	18602	415	11960	227
512662	78031	20205	267	8216	132
88931	65505	6490	142	3655	74
53338	47572	7352	93	3685	51
30206738	181599	36574	433	11921	145
21365918	112999	28713	275	10134	111
206979	90250	21171	257	6497	89
92693	92235	8445	109	6084	69
310898	67654	5781	40	2443	21
8221	87421	15691	246	7456	78
38390	114945	25248	259	10892	125
39669	113981	5910	74	3528	39
40017873	216525	30390	448	16163	290
154502	80216	14870	162	8910	75
8072	86125	13499	269	9058	184
9311172	73538	3226	86	1468	38
10511	94002	13776	257	7032	124
46253	103744	10258	154	6874	119
869123	135038	14783	130	11296	73
55584	174576	17704	198	3539	62
80381	85911	4594	105	2633	47
261925	51645	8609	176	4189	78
3585815	21374	2141	34	942	12
49604	28904	4274	126	1709	50
173652	108309	6720	98	2609	44
38238	93874	7884	163	3314	77
15925628	76351	8950	88	7688	65
71491	137103	15685	134	5802	68
5069516	240847	28723	437	14127	173
513039	22076	3077	54	2449	37
77432	120183	21000	356	12420	228
37220	70307	19282	319	11239	229
19572217	188532	15055	188	9143	96
12284396	28925	8793	73	1114	19
337566	18969	2895	28	1853	15
618631	43915	2709	51	1333	24
18450	71422	12455	263	4463	80
8389	138479	42003	459	23886	196
788093	14988	5706	137	4479	107
20423	138456	10562	235	6689	125
258979	43262	6754	156	3640	82
18957	89631	12194	336	6407	147
21009963	177332	17040	271	8711	131
19356	83490	19055	282	12493	150
21035	124247	9053	170	6355	106
50603	226428	31575	416	11567	207
20556798	206532	58479	580	14076	197
88042	70336	11044	119	5117	53
56435	85502	13058	256	6090	136
504841	65615	10115	138	7253	82
24373	33504	3984	125	2802	82
22228064	198912	25646	371	10234	168
180121	46871	12709	347	6751	155
189037	52054	6880	134	3032	56
23315	52080	10543	199	4439	99
52135	345185	59682	657	14675	201
1771587	103945	14896	305	9056	184
88078	53381	11171	214	2876	52
866988	8117	1866	34	1716	27
184729	27847	2603	71	649	21
27790	278915	47005	536	24772	210
158400	265488	48536	383	14832	180
19019270	92335	20262	259	7880	109
64993	29572	3717	60	1818	33
261613	51943	9963	140	3087	55
625404	114179	25816	401	8729	180
16831059	116596	21881	443	5119	65
45599	44880	5520	195	4272	155
414350	43063	8100	120	2214	41
30653	346348	50174	586	11320	189
32161	119659	12202	153	6441	95
32473	33234	3205	59	2473	44
32653	47128	4459	128	3543	90
2158298	36293	6912	138	2705	58
65853	0	0	0	0	0
186749	426319	31735	191	9064	35
342334	48578	5682	143	1789	39
88857	35085	3865	93	2905	65
37992	90618	5663	59	3750	32
74748	91780	13641	165	5380	100
298547	22123	1677	39	989	24
48791	68070	8706	180	5781	105
4323952	50287	9066	91	4000	40
1845	44854	10023	192	4865	81
70425	84363	12942	287	9721	216
302454	63787	15016	58	2819	19
3277	57971	4519	116	1125	22
443800	188684	9543	99	7528	59
51078	83351	6373	87	2487	33
428966	51210	9962	159	4313	58
730983	20158	885	20	802	17
492759	30747	3414	22	1962	6
42795	8712	2645	65	1842	47
330923	31759	6287	62	3399	41
1334379	4052	568	10	394	5
1219713	14099	651	21	473	14
261827	14640	3124	45	2765	34
1250090	7133	569	11	442	9
291838	29153	2445	74	1948	55
81854	31569	1716	30	1429	22
424015	10004	2008	31	1717	16
1937883	8422	1047	21	962	20
5872	35802	5424	99	4407	65
324482	34473	3187	69	2128	46
641156	22781	2881	60	2349	43
95356	20670	1927	55	216	5
92373	90884	12032	109	6081	66
379828	37613	8110	113	6781	92
405873	16013	2803	61	1846	37
3726299	21475	7225	72	793	17
804779	17742	2332	61	1050	30
66393	10342	1580	23	1241	9
988729	23969	4444	96	3641	74
146384	39160	3753	59	2933	35
5284087	10009	858	13	789	10
196920	33288	7922	113	6533	102
1231986	43385	10799	133	6419	67
51209885	0	0	0	0	0
8498	66912	16180	239	12348	154
2205504	27887	4416	55	2889	48
