page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
12891	Q213901	1127	203	25161
13575337	Q5098095	10	4	295
19158860	Q6052348	1	0	83
241602	Q276469	346	217	34950
3310704	Q190402	112	72	20675
6607630	Q578004	39	7	501
4018778	Q1428295	52	22	957
2341839	Q379299	22	10	10374
629684	Q641307	674	244	14678
1969488	Q1051437	223	57	3957
2297133	Q1953811	123	106	21242
217644	Q5908799	2	0	231
1148672	Q531507	202	33	14248
6018089	Q5971673	423	29	2981
8932473	Q1641556	160	130	4786
2294280	Q906321	160	139	7986
22040937	Q7850844	101	76	266
43962844	Q18343724	8	4	545
6104845	Q15474950	61	47	2715
12502166	Q7248853	78	59	1047
1325932	Q7106994	70	6	237
41622664	Q15637670	153	30	452
752723	Q3090244	13	6	1476
930601	Q5282137	5	1	3170
1300487	Q14864874	262	60	461
8374655	Q1746634	28	5	310
2133527	Q416331	350	59	14979
4818821	Q5000595	22	18	1226
549725	Q742500	110	91	3471
5653870	Q368779	297	178	5213
20943760	Q5160446	101	101	300
6809887	Q4915029	17	15	1240
712326	Q645363	269	201	32884
1274833	Q45959	411	198	12770
18351438	Q5193433	47	8	230
5754311	Q30313998	61	56	793
34975406	Q5165640	87	5	1961
3524059	Q2668011	64	51	10037
8808309	Q1024957	253	212	1169
1053949	Q1415275	593	195	20041
7435	Q5038709	103	90	3199
50776768	Q24897913	484	180	383
2961766	Q7866459	81	58	2852
14975324	Q6034286	0	0	160
20313015	Q7936953	4	1	448
26650671	Q6703065	3	2	580
30861480	Q936549	288	144	16778
22777772	Q4036526	2	2	165
3135637	Q739734	369	90	25669
40296900	Q17069312	4	2	1883
3658646	Q6840565	3	3	3848
4268505	Q167913	16	8	5301
19775821	Q6747256	80	11	184
1189445	Q1931968	91	37	5192
414962	Q1325542	297	99	16895
48820237	Q22004679	0	0	171
24780693	Q4826371	1	0	54
43946	Q467410	495	65	25408
23773456	Q1723395	3	2	1689
13564008	Q1049711	7	2	959
10717514	Q7107227	3	0	234
43619832	Q17747288	0	0	138
2810149	Q1691618	14	8	1292
3786145	Q1720369	100	6	2626
12237479	Q718944	58	30	1542
35239980	Q7312488	110	105	862
18449736	Q5508760	134	127	1190
22704344	Q6785213	454	368	2607
20855936	Q4763272	85	83	409
5209859	Q3620646	10	4	968
4959500	Q420673	344	66	2698
30653	Q12204	7869	959	246624
5492268	Q912344	735	139	3232
2302400	Q723758	192	83	7414
4469841	Q5860395	118	4	2877
1171686	Q1550619	166	51	14376
47215003	Q20656129	1	0	156
34482099	Q5533246	2	0	295
25583871	Q7544304	0	0	40
20857154	Q7695639	3	2	685
695896	Q490249	74	20	5486
33861062	Q7497951	1	1	324
1032	Q164655	605	334	57457
5437395	Q4745042	38	12	759
1345530	Q6744557	2	1	166
85385	Q12252367	1002	497	85674
5796667	Q745049	95	22	30914
38258768	Q4765332	46	40	546
21688783	Q1641486	104	103	246
17920712	Q1747726	83	76	1584
3776505	Q1514021	147	130	1850
6051841	Q409558	531	76	781
16081037	Q7240516	1	1	135
33255504	Q1474045	3	0	132
50822456	Q24891664	3	1	463
22137819	Q5190513	12	12	154
3655491	Q1340731	65	59	3986
1222237	Q1347065	167	153	55489
22994605	Q2909420	220	202	956
21039403	Q17005977	66	37	7641
22110294	Q7136145	178	173	3751
3392594	Q1456558	196	160	51151
34461713	Q934479	7	0	130
18710	Q128538	1138	3	17585
37900494	Q4927793	9	1	278
49039968	Q25091508	253	92	355
34931838	Q7259524	1	1	128
22080795	Q5039180	52	45	1905
49582905	Q2150082	4	2	172
21681321	Q5333997	1	1	128
2157713	Q420383	523	87	10186
10013	Q691640	582	253	16268
20450468	Q7852611	42	32	1784
3172897	Q7159212	5	4	151
25932382	Q2723972	24	12	18306
621189	Q7168575	3	2	952
319881	Q676191	313	264	11796
25938392	Q2944105	26	26	323
19360394	Q6857699	8	4	204
8497569	Q5223492	2	1	169
1331702	Q909194	1155	162	6331
2491392		3	1	68
52425617	Q28131992	381	136	338
5720556	Q441094	40	39	5066
20732483	Q7318453	2	2	794
27075748	Q5013520	5	2	243
27110987	Q4682229	11	4	560
52623722	Q28163603	3	2	214
2054979	Q1274464	86	61	6028
940017	Q4567256	40	3	75
2573767	Q5959327	85	83	368
11637616	Q1347440	203	156	3386
22398087	Q5031911	183	141	498
22939974	Q5009807	80	77	334
2886435	Q6390486	46	0	516
2236083	Q1367706	124	100	15102
402652	Q195941	120	15	21026
33224265	Q5147539	3	2	3264
41377796	Q17078778	5	1	1111
26301167	Q2923350	1	1	3023
52936760	Q16642636	4	2	837
49362885	Q22908899	1	1	271
14587476	Q15994861	4	0	83
6743158	Q564416	148	79	1385
25752709	Q5464667	48	47	158
40874103	Q17152732	0	0	670
17003475	Q6912265	3	0	114
24797922	Q17990003	23	3	578
4645095	Q7226667	9	2	2842
5745316	Q7206010	1	0	194
580852	Q929966	157	29	8321
14123742	Q6947334	29	27	5678
22777857	Q4849924	23	16	201
30816003	Q374300	16	3	215
40479918	Q14915755	42	2	690
9519688	Q7261165	31	23	5348
503009	Q180686	115898	441	21400
15257013	Q4327981	3	2	318
3072694	Q5154235	3	0	203
8600203	Q2888275	70	62	226
22566527	Q7580220	2	1	1449
31823679	Q8037388	4	3	534
206979	Q188874	1791	252	61893
19379937	Q5957519	106	102	295
5951626	Q4774739	24	8	2343
47429852	Q20806971	5	1	201
18387111	Q5941156	64	51	1197
21579965	Q6058392	197	191	504
975447	Q2390364	13	5	4710
42111572	Q4315019	111	2	1812
14070987	Q5333982	28	28	2193
37689486	Q5383066	1	0	356
25869952	Q5370619	11	2	440
48785043	Q23808447	56	11	712
13070516	Q3774511	52	22	5601
36961844	Q6644599	12	12	262
19311147	Q6728539	1	1	192
7144478	Q2966733	90	80	397
53638298	Q3540887	372	201	27035
3795766	Q3333223	137	118	3915
10648274	Q7107647	1	1	204
21799933	Q6290191	11	4	307
51803	Q794072	79	61	21489
6027992	Q7098796	9	2	1257
8065843	Q2310947	57	53	251
6175096	Q2753372	52	49	412
25329617	Q7608203	6	0	1131
21134458	Q7309385	3	1	692
3400416	Q3029644	207	199	5608
5375719	Q5965479	71	65	1305
69053	Q909808	398	22	20262
14580418	Q7835364	35	30	1507
2366752	Q11422173	572	65	27679
28462318	Q6946736	7	3	143
3451166	Q3054009	21	8	381
36124804	Q3858411	60	53	249
26631369	Q7194892	50	44	298
38508096	Q15408409	571	178	548
15754833	Q7579180	3	0	1009
48160258	Q21592535	0	0	106
7478096	Q4116939	13	2	1229
20900378	Q6251482	35	3	1648
3906873	Q3598794	112	99	573
5411611	Q3924802	83	81	9872
2217740	Q1291359	72	53	10437
27814204	Q6871141	23	0	2736
33708046	Q5130802	3	2	355
4994348		1	0	111
1524776	Q1129105	409	337	10975
14446820	Q97776	5	0	69
8216115	Q16944854	2	1	105
5947232	Q6954138	78	6	870
672186	Q1145271	78	14	1749
2896519	Q8973919	55	35	9261
33386360	Q1345879	1	0	151
42795	Q254327	436	205	7698
14783	Q184674	1074	300	60999
6155168	Q539453	237	225	1695
5982854	Q1919035	8	3	4537
21365387	Q1552603	1	0	108
232056	Q635339	153	124	7666
40624057	Q17131133	3	0	484
156828	Q464454	211	0	3102
14280138	Q7646086	158	2	1596
15426086	Q86760	4	1	185
51897731	Q27657914	11	11	300
1076319	Q219841	166	23	5942
3389208	Q352074	326	23	2819
2239038	Q5182140	4	2	363
116035	Q266210	207	15	13294
7424333	Q720523	6	4	13797
8398201	Q7682310	238	124	409
1615081	Q14865246	509	105	5722
51485055	Q19613613	3	0	72
30542186	Q6744609	4	3	347
178203	Q721432	306	102	13551
1363291	Q6554101	561	127	13885
42630360	Q17083585	1	1	169
3042204	Q280156	255	90	8839
1493776	Q6954186	6	2	209
6394182	Q2625219	61	2	467
28677542	Q7670972	0	0	89
29966117	Q6883844	0	0	421
50924044	Q5974856	189	0	321
5018889	Q3368713	59	51	637
12661386	Q1671046	13	1	4619
1305330	Q2920250	476	72	3774
29462588	Q68701	6	3	678
26979316	Q5542283	12	2	563
2304494	Q899726	363	232	13801
40323260	Q16921213	2	1	348
41904149	Q16001446	0	0	134
18487326	Q5552250	6	3	1884
5090546	Q2499585	233	6	2016
1192805	Q1777563	137	128	8220
41716878	Q16965438	3	2	207
414141	Q1757915	195	169	16446
5729594	Q2017218	84	82	370
1809066	Q5263531	150	34	1454
1059587	Q3771629	98	74	12018
243391	Q9081	1583	39	137788
3935253	Q913667	18	8	14334
32255552	Q7114070	187	59	1170
21370569	Q6033643	1	1	129
2648478	Q4570473	4	4	1102
191003	Q1369123	323	70	19104
8400045	Q4116663	193	132	7959
16816355	Q7864085	124	20	329
26135238	Q5090613	10	5	476
8434240	Q12877395	3	0	104
1150897	Q857638	92	46	8900
10016145	Q618736	16	2	12155
13265003	Q3079565	81	3	22113
52733606	Q28091751	2	0	102
790455	Q5130878	8	7	1857
1245462	Q5504100	90	1	542
1484465	Q1243765	141	30	6025
4887689	Q5463933	2	0	517
23560047	Q6725780	3	0	801
34561752	Q7323078	2	1	1792
9993787	Q3026357	165	75	956
38442776	Q7935646	4	3	85
1035470	Q10681911	29	4	1934
6046848	Q3271949	112	24	1573
2252229	Q682798	100	35	1449
20752677	Q7630706	62	61	2669
24954129	Q16902675	2	1	161
3255214	Q17163513	46	39	1576
45038562	Q19654805	18	8	205
30984999	Q7298978	4	0	115
14846897	Q6823243	16	2	431
370785	Q467265	501	246	59991
5759935	Q18971622	11	8	7435
41681699	Q16156461	4	3	474
36283615	Q6881260	11	1	2022
2930542	Q74419	105	9	8013
13093138	Q16889219	2	2	135
5683324	Q14904270	225	27	2483
25185187	Q7285366	2	0	176
20747301	Q7246924	5	0	420
1311158	Q3312710	85	23	9956
3327704	Q7169436	8	0	1185
2448498	Q1114994	60	12	19205
594776	Q7455509	6	4	3513
20711799	Q7075793	102	100	406
10228607	Q7625508	96	77	9064
7629129	Q7574944	39	11	1908
237649	Q1956720	23	16	729
1764576	Q264518	6	1	341
24531812	Q12195228	0	0	1040
27656181	Q5590513	3	1	148
851455	Q412194	1515	247	61195
754658	Q922411	277	222	19445
45053093	Q22908496	1	1	299
39677685	Q17155309	2	0	3202
31993912	Q5570339	9	1	177
12370110	Q4284220	33	2	950
5058498		0	0	271
26814808	Q6807197	1	0	88
6890925	Q2544887	154	2	3266
3321024	Q7310406	11	5	307
8142629	Q16940970	1	0	167
