page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
12891	Q213901	1127	203	28952
13575337	Q5098095	10	4	343
19158860	Q6052348	1	0	100
241602	Q276469	346	217	36338
3310704	Q190402	112	72	20691
6607630	Q578004	39	7	577
4018778	Q1428295	52	22	965
2341839	Q379299	22	10	10614
629684	Q641307	674	244	18824
1969488	Q1051437	223	57	4490
2297133	Q1953811	123	106	21121
217644	Q5908799	2	0	257
1148672	Q531507	202	33	16216
6018089	Q5971673	423	29	3408
8932473	Q1641556	160	130	6760
2294280	Q906321	160	139	8177
22040937	Q7850844	101	76	311
43962844	Q18343724	8	4	623
6104845	Q15474950	61	47	2726
12502166	Q7248853	78	59	1435
1325932	Q7106994	70	6	324
41622664	Q15637670	153	30	563
752723	Q3090244	13	6	1619
930601	Q5282137	5	1	3150
1300487	Q14864874	262	60	480
8374655	Q1746634	28	5	326
2133527	Q416331	350	59	15526
4818821	Q5000595	22	18	1234
549725	Q742500	110	91	3676
5653870	Q368779	297	178	7212
20943760	Q5160446	101	101	344
6809887	Q4915029	17	15	1291
712326	Q645363	269	201	32509
1274833	Q45959	411	198	14143
18351438	Q5193433	47	8	295
5754311	Q30313998	61	56	804
34975406	Q5165640	87	5	2612
3524059	Q2668011	64	51	10436
8808309	Q1024957	253	212	1193
1053949	Q1415275	593	195	22870
7435	Q5038709	103	90	3306
50776768	Q24897913	484	180	546
2961766	Q7866459	81	58	3784
14975324	Q6034286	0	0	177
20313015	Q7936953	4	1	472
26650671	Q6703065	3	2	659
30861480	Q936549	288	144	23620
22777772	Q4036526	2	2	180
3135637	Q739734	369	90	28540
40296900	Q17069312	4	2	1939
3658646	Q6840565	3	3	3923
4268505	Q167913	16	8	5479
19775821	Q6747256	80	11	182
1189445	Q1931968	91	37	6063
414962	Q1325542	297	99	18145
48820237	Q22004679	0	0	207
24780693	Q4826371	1	0	87
43946	Q467410	495	65	26946
23773456	Q1723395	3	2	1725
13564008	Q1049711	7	2	1489
10717514	Q7107227	3	0	283
43619832	Q17747288	0	0	151
2810149	Q1691618	14	8	2460
3786145	Q1720369	100	6	2638
12237479	Q718944	58	30	1595
35239980	Q7312488	110	105	1077
18449736	Q5508760	134	127	1252
22704344	Q6785213	454	368	2834
20855936	Q4763272	85	83	437
5209859	Q3620646	10	4	1122
4959500	Q420673	344	66	3012
30653	Q12204	7869	959	257962
5492268	Q912344	735	139	4117
2302400	Q723758	192	83	9370
4469841	Q5860395	118	4	3346
1171686	Q1550619	166	51	16251
47215003	Q20656129	1	0	181
34482099	Q5533246	2	0	310
25583871	Q7544304	0	0	42
20857154	Q7695639	3	2	705
695896	Q490249	74	20	5722
33861062	Q7497951	1	1	341
1032	Q164655	605	334	62119
5437395	Q4745042	38	12	786
1345530	Q6744557	2	1	201
85385	Q12252367	1002	497	90219
5796667	Q745049	95	22	31504
38258768	Q4765332	46	40	576
21688783	Q1641486	104	103	370
17920712	Q1747726	83	76	1603
3776505	Q1514021	147	130	2000
6051841	Q409558	531	76	1021
16081037	Q7240516	1	1	147
33255504	Q1474045	3	0	190
50822456	Q24891664	3	1	495
22137819	Q5190513	12	12	176
3655491	Q1340731	65	59	4111
1222237	Q1347065	167	153	53551
22994605	Q2909420	220	202	1013
21039403	Q17005977	66	37	8436
22110294	Q7136145	178	173	3805
3392594	Q1456558	196	160	53509
34461713	Q934479	7	0	149
18710	Q128538	1138	3	19544
37900494	Q4927793	9	1	292
49039968	Q25091508	253	92	433
34931838	Q7259524	1	1	142
22080795	Q5039180	52	45	2028
49582905	Q2150082	4	2	171
21681321	Q5333997	1	1	138
2157713	Q420383	523	87	11022
10013	Q691640	582	253	18017
20450468	Q7852611	42	32	1925
3172897	Q7159212	5	4	159
25932382	Q2723972	24	12	18649
621189	Q7168575	3	2	978
319881	Q676191	313	264	14769
25938392	Q2944105	26	26	476
19360394	Q6857699	8	4	217
8497569	Q5223492	2	1	183
1331702	Q909194	1155	162	7965
2491392		3	1	68
52425617	Q28131992	381	136	445
5720556	Q441094	40	39	5134
20732483	Q7318453	2	2	799
27075748	Q5013520	5	2	262
27110987	Q4682229	11	4	842
52623722	Q28163603	3	2	262
2054979	Q1274464	86	61	6197
940017	Q4567256	40	3	119
2573767	Q5959327	85	83	404
11637616	Q1347440	203	156	3581
22398087	Q5031911	183	141	505
22939974	Q5009807	80	77	356
2886435	Q6390486	46	0	569
2236083	Q1367706	124	100	15288
402652	Q195941	120	15	21566
33224265	Q5147539	3	2	3287
41377796	Q17078778	5	1	1204
26301167	Q2923350	1	1	3011
52936760	Q16642636	4	2	831
49362885	Q22908899	1	1	277
14587476	Q15994861	4	0	90
6743158	Q564416	148	79	1652
25752709	Q5464667	48	47	209
40874103	Q17152732	0	0	697
17003475	Q6912265	3	0	131
24797922	Q17990003	23	3	795
4645095	Q7226667	9	2	2990
5745316	Q7206010	1	0	211
580852	Q929966	157	29	10233
14123742	Q6947334	29	27	6937
22777857	Q4849924	23	16	222
30816003	Q374300	16	3	275
40479918	Q14915755	42	2	780
9519688	Q7261165	31	23	5415
503009	Q180686	115898	441	77621
15257013	Q4327981	3	2	377
3072694	Q5154235	3	0	255
8600203	Q2888275	70	62	342
22566527	Q7580220	2	1	1578
31823679	Q8037388	4	3	598
206979	Q188874	1791	252	79214
