page_id	ratings
19158860	Low
6607630	Low
8374655	Low
18351438	Low
20313015	Low
19775821	Low
48820237	Low
43619832	Low
5437395	Low
34461713	Low
18710	Low
49582905	Low
3172897	Low
940017	Low
2886435	Low
14587476	Low
6743158	Low
17003475	Low
30816003	Low
40479918	Low
503009	Low
15257013	Low
47429852	Low
42111572	Low
21799933	Low
25329617	Low
28462318	Low
3451166	Low
48160258	Low
20900378	Low
27814204	Low
14446820	Low
8216115	Low
5947232	Low
672186	Low,Low
33386360	Low
21365387	Low
40624057	Low
15426086	Low
51485055	Low
42630360	Low
50924044	Low
29462588	Low
26979316	Low
41904149	Low
1809066	Low,Low
16816355	Low
52733606	Low
45038562	Low
30984999	Low
25185187	Low
31993912	Low
2191566	Low
20000139	Low
49158421	Low
21243673	Low
31474000	Low
40216208	Low
37382724	Low
2799334	Low
7019543	Low
33225665	Low
37188774	Low
52130580	Low
24084320	Low
37552239	Low
1184035	Low
37301684	Low
47037862	Low
25459083	Low
8294723	Low
1014883	Low
10163422	Low
41726192	Low
49337059	Low
33466608	Low
51983260	Low
42315251	Low
1908571	Low
27353095	Low
41557426	Low
18351233	Low
1306122	Low
18320823	Low
34950854	Low
2399802	Low
13481614	Low
26989587	Low
27847932	Low
32170570	Low
37583102	Low
35623626	Low
9911707	Low
6681426	Low
45352693	Low
23923159	Low
23259960	Low
34339937	Low
26332348	Low
18885936	Low
1739598	Low
7192716	Low
23078995	Low
36581434	Low
6532777	Low
14533965	Low
49023393	Low
27505736	Low
4826452	Low
38403156	Low
1115874	Low
41364158	Low
44914398	Low
33101742	Low
5458486	Low
9069063	Low
11856567	Low
9185785	Low
27879793	Low
16784290	Low
9060829	Low
31292785	Low
50669221	Low
3666699	Low
12599463	Low
36535331	Low
1586826	Low
30389901	Low
2898290	Low
17539328	Low
50961535	Low
2642277	Low
25150470	Low
40344844	Low
10312217	Low
48823988	Low
38433373	Low
39723043	Low
1047918	Low
2092775	Low
30350408	Low
23586195	Low
901616	Low
1545066	Low
47674513	Low
50186115	Low
41487215	Low
2085662	Low
19755256	Low
32444445	Low
47742056	Low
50081356	Low
44533703	Low
17893293	Low
33049622	Low
47161560	Low
14063972	Low
8567323	Low
38514911	Low
657029	Low
32965280	Low
2604445	Low
41537735	Low
37791193	Low
1182372	Low
43309175	Low
14039877	Low
14373561	Low
5030152	Low
5855352	Low
38563270	Low
48645070	Low
48991245	Low
46626547	Low
13677507	Low,Low
39987090	Low
54327491	Low
41497057	Low
41964387	Low
14740059	Low
24362431	Low
23002410	Low
23630118	Low
34742169	Low
40399429	Low
3141206	Low
37666849	Low
48663287	Low
50217412	Low
770112	Low
45523355	Low,Low,Low
26344471	Low
6703481	Low
53829489	Low
12271719	Low
27958649	Low
20507478	Low
1826550	Low
37965857	Low
28384776	Low
5296108	Low
2021882	Low
2110132	Low
25802269	Low
42147011	Low
52258995	Low
45155728	Low
34547044	Low
4503405	Low
14177857	Low
35717470	Low
5861951	Low
490269	Low
3395438	Low
53765206	Low
45198794	Low
20435852	Low
48689578	Low
31924163	Low
46717237	Low
25957291	Low
28795884	Low
5271605	Low
48977377	Low
5897116	Low
25427116	Low
10640639	Low
48552239	Low
6922586	Low
7707591	Low
41806205	Low
13655545	Low
37861978	Low
20525634	Low
101344	Low
37037661	Low
10846390	Low
1357752	Low
13972315	Low
8487855	Low
7026056	Low
5126284	Low
52695523	Low
37453897	Low
2484738	Low
896955	Low
36834738	Low
31815847	Low
15728533	Low
33065537	Low
28751596	Low
48442950	Low
21961086	Low
12103447	Low
38330472	Low
39217867	Low
186933	Low
29991318	Low
3990941	Low
3874	Low
15283788	Low
192693	Low
16656232	Low
28557044	Low
46321723	Low
14649238	Low
24915820	Low
48690487	Low
51575439	Low
21164938	Low
43405037	Low
41305762	Low
29431715	Low
2123420	Low
3897089	Low
45600569	Low
52053243	Low
54235881	Low
3231468	Low,Low
53616503	Low
36406732	Low
34065540	Low
36778628	Low
2120224	Low
41779862	Low
840864	Low
13943225	Low
48585131	Low
23752117	Low
8982021	Low
12841898	Low
18412940	Low
30865491	Low
40574039	Low
32843693	Low
4409035	Low
47095036	Low
16055946	Low
3176654	Low
51278588	Low
22145691	Low
1914242	Low
1617671	Low
34122164	Low
30888721	Low,Low
4881424	Low
626717	Low
33725949	Low
43997221	Low
40187541	Low
48860932	Low
47273647	Low
24553942	Low
30749169	Low
324812	Low
37224253	Low
21153247	Low
24902567	Low
20790125	Low
24903740	Low
5135980	Low
29992005	Low
7840748	Low
6860425	Low
43070157	Low
51149977	Low
15104646	Low
34747053	Low
51558152	Low
8826388	Low
42064600	Low
4534129	Low
33201202	Low
43622827	Low
2583690	Low
8061944	Low
3303249	Low
38847790	Low
10649149	Low
41364511	Low
43842034	Low
24286963	Low
2343731	Low
25360477	Low
38124740	Low
50505548	Low
23208644	Low
211655	Low
47012643	Low
26659044	Low
51460063	Low
1260020	Low
23794120	Low
1705334	Low
6900632	Low
22289331	Low
49290809	Low
15044784	Low
34157266	Low
18285895	Low
45012627	Low
22435314	Low
43575285	Low
18914343	Low
21686342	Low
1065791	Low
47762883	Low
40943294	Low
52516516	Low
2447768	Low
13430970	Low
5273620	Low
6087837	Low
54238842	Low
40961306	Low
31265748	Low
15372297	Low
44270475	Low
1817747	Low
21553781	Low
2344754	Low
11854886	Low
53885273	Low
47902072	Low
40716393	Low
464411	Low
8875634	Low
3730302	Low
8511930	Low
24912714	Low
6124808	Low
43273545	Low
48982395	Low
27864627	Low
579347	Low
28401716	Low
27974341	Low
21756049	Low
22922620	Low
30542162	Low
883877	Low
20574126	Low
22094377	Low
635867	Low
7340420	Low
18557352	Low
35276406	Low
43394455	Low
4236467	Low
27972750	Low
48690591	Low
18866154	Low
1086959	Low
24502601	Low
37496694	Low
52711100	Low
43182230	Low
39683063	Low
53347169	Low
9582682	Low
26883796	Low
11825928	Low
28804503	Low
11466593	Low
11945311	Low
12585967	Low
8303282	Low
17404050	Low
13384876	Low
50005400	Low
4564011	Low
39924106	Low
2002717	Low
19099511	Low
5875875	Low
18733675	Low
43824478	Low
51373244	Low
4254874	Low
1310206	Low,Low
21114870	Low
34119	Low
37026865	Low
53565673	Low
24067626	Low
7260245	Low
51889598	Low
48784618	Low
985300	Low
6329226	Low
48433984	Low
19012289	Low
7133786	Low
33166760	Low
23720392	Low
53689671	Low
52502	Low
2943130	Low
26150840	Low
40767988	Low
3025192	Low
37904224	Low
20195979	Low
47189657	Low
8752878	Low
44715476	Low
42241948	Low
18124501	Low
3207071	Low
50689226	Low
17275831	Low
23602135	Low
13998846	Low
32317050	Low
41232249	Low
29804512	Low
29587747	Low
1448170	Low
29380645	Low
7712928	Low
1785729	Low
40877347	Low
49428289	Low
43001953	Low
50639556	Low
12680995	Low
17664262	Low
15038445	Low
13963797	Low
1644744	Low,Low
54326190	Low
32770734	Low
13879985	Low
49389676	Low
20533824	Low
3500616	Low
1041603	Low
33776261	Low
7438438	Low
49675681	Low
21435631	Low
34331718	Low
40687459	Low
22068133	Low
13708317	Low
51885959	Low
8817551	Low
34961397	Low
31747175	Low
44123258	Low
10105163	Low
41231036	Low
21547614	Low
15240350	Low
31269937	Low
27254244	Low
48444809	Low
4643010	Low
18323754	Low
32610748	Low
51773621	Low
44615669	Low
13887268	Low
15549763	Low
40070736	Low
3800537	Low
53978611	Low
50918	Low
14851772	Low
51065316	Low
41326050	Low
1494245	Low
12280249	Low
47452090	Low
33558405	Low
43970624	Low
37358745	Low
15357662	Low
4850372	Low
41787575	Low
51494798	Low
38595532	Low
20986972	Low
25294051	Low
40495275	Low
325426	Low
33099842	Low
25818139	Low
25242913	Low
1160623	Low
1588174	Low
9228823	Low
38728410	Low
42031	Low
22096897	Low
18353587	Low
43577533	Low
39285158	Low
44609114	Low
41945738	Low
54305674	Low
20826984	Low
12277276	Low
10800745	Low
25819326	Low
20365313	Low
51664413	Low
15322028	Low
41435271	Low
2253907	Low
43843697	Low
11056070	Low
10290732	Low
1777458	Low
52685710	Low
11612834	Low
7918322	Low
47259480	Low
4578722	Low
38604407	Low
3752785	Low
7340302	Low
26034454	Low
47900620	Low
29571116	Low
52527452	Low
5554580	Low
31701684	Low
52531561	Low
40138211	Low
28618368	Low
45663967	Low
54256545	Low
6269890	Low
3172753	Low
6008079	Low
18215958	Low
44589433	Low
24659456	Low
24573084	Low
533436	Low
17803255	Low
5367173	Low
40123047	Low
36987459	Low
9053125	Low
2672369	Low
47438104	Low
2843723	Low
30924591	Low
5864053	Low
5909205	Low
46546514	Low
8205972	Low
7380871	Low
1325279	Low
39914206	Low
911754	Low
40885596	Low
36814661	Low
25707277	Low
37826134	Low
39337819	Low
39780436	Low
45339830	Low
47020964	Low
417493	Low
8018778	Low
25575062	Low
52365475	Low
41380433	Low
46791943	Low
3193441	Low
23287466	Low
33904937	Low
11877503	Low
51098752	Low
11688171	Low
13312719	Low
36522165	Low
48719069	Low
21592973	Low
1303531	Low
43256791	Low
20028683	Low
14412455	Low
41584293	Low
246774	Low
10392893	Low
50501557	Low
31282151	Low
5306485	Low
34634187	Low
12370844	Low
39840669	Low
32992688	Low
48616934	Low
29021800	Low
41798436	Low
41058128	Low
40725075	Low
37979525	Low
21833153	Low
46873230	Low
11456872	Low
26039331	Low
33665819	Low
3018846	Low
4981700	Low
2984728	Low
11021248	Low
4193582	Low
360041	Low
26760758	Low
46348336	Low
23448379	Low
5512777	Low
38135114	Low
47423619	Low
41315630	Low
17478272	Low
44559109	Low
7432179	Low
31474890	Low
1814187	Low
49519479	Low
28608215	Low
282197	Low
2952264	Low
29297271	Low
36394604	Low
3884421	Low
6692258	Low
42395100	Low
19745726	Low
23449784	Low
262935	Low
40642728	Low
28397880	Low
14718807	Low
39358610	Low
816001	Low
29171869	Low
11334382	Low
46977844	Low
3329518	Low
10655897	Low
12877587	Low
30244583	Low
8888939	Low
30492136	Low
31527491	Low
4831315	Low
23131476	Low
13371250	Low
41769165	Low
40473374	Low
20056932	Low
27405989	Low
12694979	Low
47438617	Low
53858414	Low
50560240	Low
5301431	Low
23020424	Low
6213185	Low
7127508	Low
3859111	Low
7391852	Low
47246966	Low
28901812	Low
49992504	Low
40224095	Low
8506881	Low
350568	Low
51283468	Low
25226624	Low
9293179	Low
25200173	Low
53650475	Low
4457401	Low
25575161	Low
1431330	Low
42607622	Low
25681192	Low
2324639	Low
24399839	Low
20080795	Low
3988094	Low
8660975	Low
44764548	Low
21251314	Low
361850	Low
38796868	Low
9915976	Low
22281360	Low
44617449	Low
16226468	Low
54321619	Low
19389318	Low
7207355	Low
2577339	Low
54238068	Low
52922451	Low
54053963	Low
34130734	Low
34816383	Low
11240152	Low
33925130	Low
34704636	Low
5424026	Low
47256042	Low
36973082	Low
8834973	Low
23968401	Low
6131155	Low
52324377	Low
21998170	Low
13455067	Low
4864744	Low
47423006	Low
42747440	Low
18550331	Low
31934566	Low
40218602	Low
30864951	Low
5553605	Low
36675116	Low
4107816	Low,Low
33905158	Low
44499867	Low
46671118	Low
92906	Low
54342083	Low
46495957	Low
12877741	Low
44272734	Low
10286540	Low
48690607	Low
50087813	Low
11656358	Low
46454308	Low
24098449	Low
31144901	Low
40189248	Low
47010224	Low
4333438	Low
27378627	Low
2004804	Low,Low
29029027	Low
23758721	Low
13146977	Low
38762493	Low
51153290	Low
31301444	Low
14077024	Low
41750407	Low
37783228	Low
37947359	Low
42512810	Low
7257218	Low
47361041	Low
29483153	Low
1325950	Low
47571601	Low
24633672	Low
22181353	Low
1229921	Low
15179474	Low
18353193	Low
4021586	Low
5590760	Low
25265194	Low
49160762	Low
28377443	Low
30585976	Low
1496757	Low
24011213	Low
12999450	Low
40749862	Low
9054468	Low
24126989	Low
28280952	Low
1535452	Low
7107486	Low
13574742	Low
47208605	Low
39524937	Low
75078	Low
33769185	Low
20613742	Low
53960024	Low
25169599	Low
21487408	Low
19101238	Low
19846019	Low
5094731	Low
18871682	Low
22678724	Low
29371166	Low
48526845	Low
22416467	Low
47014023	Low
21339642	Low
28994734	Low
34042618	Low
41495202	Low
29071678	Low
11956390	Low
2787129	Low
24845072	Low
16036540	Low
28118158	Low
1136647	Low
46504073	Low
2910436	Low
522681	Low
33929850	Low
11431753	Low
54294676	Low
24655328	Low
3337163	Low
4465984	Low
12898135	Low
53838010	Low
6092344	Low
33713076	Low
4332018	Low
24133659	Low
42699120	Low
913947	Low
19538529	Low
15633372	Low
51958313	Low
24181989	Low
7002530	Low
44033471	Low
54293899	Low
30246760	Low
25600815	Low
28821203	Low
5111473	Low
40713638	Low
30643975	Low
3206495	Low
41764220	Low
47473198	Low
41029141	Low
7402171	Low
21706446	Low
51506783	Low
24815128	Low
41206433	Low
38218669	Low
155030	Low
53922920	Low
5936038	Low
34678412	Low
7474498	Low
25437648	Low
10106716	Low
16010183	Low
38655001	Low
38887158	Low
694829	Low
1559254	Low
5736507	Low
569143	Low
45605806	Low
6725388	Low
1490545	Low
40943443	Low
3725942	Low
21001346	Low
18327621	Low
8670534	Low
38377888	Low
31777078	Low
1905937	Low
20977826	Low
42474612	Low
31637116	Low
40724175	Low
36847774	Low
49949025	Low
44164575	Low
27763413	Low
28614453	Low
17129874	Low
1427818	Low
44126793	Low
11884341	Low
6485063	Low
22575533	Low
27970001	Low
53382	Low
14449397	Low
1855289	Low
50935038	Low
16184632	Low
54340786	Low
8961041	Low
27935253	Low
28738868	Low
35119424	Low
35252915	Low
2578386	Low
33956133	Low
33091987	Low
33470371	Low
25136628	Low
1694070	Low
45016869	Low
13400390	Low
33765714	Low
23869497	Low
38597476	Low
22687230	Low
16314447	Low
18499187	Low
45565253	Low
33756418	Low
3060795	Low
52695467	Low
30417975	Low
10916174	Low
41249645	Low
9686244	Low
18307511	Low
27002487	Low
33793533	Low
43833399	Low
40895505	Low
7131014	Low
46359445	Low
38635730	Low
22237363	Low
4181127	Low
4807947	Low
22623771	Low
38850867	Low
8952218	Low
23021812	Low
1170596	Low
42388976	Low
28714046	Low
28701828	Low
39241412	Low
40018418	Low
17557516	Low
7586354	Low
41698031	Low
27177682	Low
16095249	Low
2959079	Low
23994840	Low
48303293	Low
17719645	Low
11922152	Low
38186554	Low
53161957	Low
6097857	Low
24896394	Low
2511210	Low
51903959	Low
20983136	Low
7883111	Low
14124984	Low
27555753	Low
45663189	Low
40188017	Low
33925603	Low
28962071	Low
5975457	Low
1638180	Low
44970510	Low
24079676	Low
42049930	Low
1301686	Low,Low
11938136	Low
11906864	Low
41090832	Low
1490564	Low
6725397	Low
1329574	Low
18304987	Low
18517784	Low
30319080	Low
14746946	Low
21537323	Low
33932522	Low
12211193	Low
19467729	Low
9292116	Low
34374805	Low
18134892	Low
2725261	Low
31717138	Low
26576091	Low
28964581	Low
14715601	Low
29830709	Low
31173636	Low
10859520	Low
45671588	Low
9873721	Low
3476106	Low
28502092	Low
42242923	Low
52667561	Low
47012471	Low
38892940	Low
11686743	Low
1489464	Low
38681004	Low
22766430	Low
50023834	Low
53301492	Low
47153702	Low
37891165	Low
2047887	Low
23573417	Low
2144928	Low
8106840	Low,Low
47257265	Low
18072176	Low
6244450	Low
48677408	Low
26790883	Low
22844612	Low
28883739	Low
27914146	Low,Low
1984494	Low
53501645	Low
41242977	Low
1419497	Low
4216688	Low
34763906	Low
24124332	Low
30357666	Low
33677828	Low
10054817	Low
51081690	Low
3348630	Low
8935864	Low
5502671	Low
32828304	Low
8719635	Low
26752715	Low
52160304	Low
32292644	Low
25819883	Low
4402386	Low
3020440	Low
17252706	Low
41686645	Low
27938372	Low
32757215	Low
2103242	Low
12856166	Low
2072717	Low
29278638	Low
37019241	Low
40092777	Low
51062124	Low
14703265	Low
3677140	Low
1130	Low
44942658	Low
6924768	Low
51610879	Low
24773725	Low
27496686	Low
50377922	Low
4142430	Low
22827119	Low
4236942	Low
33678177	Low
34351949	Low
1953739	Low
28005014	Low
7503876	Low
33923946	Low
25280287	Low
9261337	Low
40354679	Low
48059538	Low
34848280	Low
1263947	Low
8218682	Low
29994474	Low
47569138	Low
39155654	Low
53487519	Low
39940573	Low
14716773	Low
8943091	Low
38550629	Low
44979822	Low
1816035	Low
51090536	Low
24112198	Low
43646090	Low
11489870	Low
15800430	Low
31166723	Low
38833628	Low
23273536	Low
38574601	Low
41811667	Low
4151623	Low
43539635	Low
26320469	Low
17305444	Low
2675784	Low
50648076	Low
3433658	Low
21164880	Low
4219033	Low
38057265	Low
44849517	Low
18522320	Low
40247674	Low
50012420	Low
1272800	Low
12438121	Low
27161723	Low
1061271	Low
32790420	Low
48892335	Low
47051820	Low
21226137	Low
24982651	Low
9456990	Low
44624106	Low
25541511	Low
735136	Low
33843776	Low
15917712	Low
21875153	Low
13496677	Low
29254290	Low
46739349	Low
922493	Low
2525484	Low
1735063	Low
18353332	Low
50337811	Low
22915208	Low
455909	Low
4173249	Low
42978497	Low
27164134	Low
30275490	Low
6900714	Low
23470153	Low
22021532	Low
29451419	Low
47048299	Low
40050830	Low
8255339	Low
1051927	Low
1588362	Low
14348187	Low
5649484	Low
24499533	Low
8663148	Low
21842719	Low
219413	Low
11634653	Low
36319827	Low
15144384	Low
27519384	Low
626889	Low
36060579	Low
27396820	Low,Low
24472387	Low
4027896	Low
9739239	Low
3100770	Low
35631937	Low
52756002	Low
30943993	Low
9680020	Low
41755927	Low
48909516	Low
40272555	Low
240846	Low
38412529	Low
3848705	Low
51968136	Low
43071573	Low
37190732	Low
24535320	Low
40528646	Low
5999217	Low
42004797	Low
8750302	Low
35999159	Low
9852831	Low
26988497	Low
35010583	Low
7438702	Low
8512135	Low
24837220	Low
23356508	Low
21538361	Low
46788697	Low
38446730	Low
1427664	Low
42841555	Low
10896059	Low
1237656	Low
38177447	Low
31773252	Low
11200418	Low
6303997	Low
53997920	Low
23707608	Low
25868597	Low
17994168	Low
46224274	Low
5954098	Low
23056909	Low
48218759	Low
367174	Low
13911280	Low
36422069	Low
10894995	Low
43677198	Low
43371242	Low
37794760	Low
43080347	Low
40649289	Low
8111312	Low
32822424	Low
25189146	Low
47403823	Low
3578392	Low,Low
29162226	Low
33639133	Low
31192923	Low
51235589	Low
1490515	Low
7511294	Low
30931773	Low
48480324	Low
51514640	Low
3614834	Low
52059577	Low
308050	Low
16393	Low
50079187	Low
21095063	Low
33861164	Low
33914096	Low
25514003	Low
27382646	Low
26674959	Low
2688736	Low
14530187	Low
51454858	Low
1048406	Low
353215	Low
27341151	Low
48947106	Low
8051124	Low
19321876	Low
51550825	Low
23874146	Low
39317680	Low
2394696	Low
48765004	Low
13220642	Low
23004427	Low
1603749	Low
24795132	Low
32098815	Low
45672440	Low
44033213	Low
