page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
30873854	3849	1062	23	988	19
453767	24515	6397	83	6038	68
5531401	219138	16966	124	10385	71
73669	9676	3858	67	3004	39
1167973	8817	2126	56	864	23
918363	86800	9792	78	4509	50
330810	10347	1974	38	1424	22
2357	60739	18486	164	15066	113
559565	26285	4021	40	1782	23
2102	74123	17767	256	11627	124
1497619	1462	266	9	205	6
2103	894876	67538	377	48458	191
1306406	8794	761	15	630	10
1785665	482	131	5	119	4
4293	92571	21920	276	16009	158
1494073	2197	463	15	313	8
2825367	522	141	4	141	4
735304	7513	1512	44	937	24
4244769	409	36	2	36	2
493658	4560	768	23	541	13
648835	557286	44457	222	34567	120
4892	2635	952	20	619	14
1494061	13163	843	23	664	15
385656	6919	1786	34	1433	22
1469126	1225	211	9	198	8
1821755	997	404	7	88	2
854115	12161	2400	32	1761	19
344221	32139	4072	63	2139	35
1578044	11059	1395	37	1080	25
60089	223918	17075	157	10368	81
339841	1719665	108521	354	79140	196
657804	195119	23021	182	14119	108
1283357	12190	2962	39	2286	22
958349	1394	253	9	149	5
453868	87463	14595	136	4366	47
493703	15580	4141	59	2438	33
715505	1431	274	7	274	7
854062	17346	3047	40	1732	18
1513243	3706	755	21	535	13
1497630	3490	767	17	607	10
4315	100881	25722	321	17721	175
1123783	5511	1314	24	977	16
668365	29299	5200	64	2152	24
8663312	763	157	6	112	4
1269279	29552	2991	49	1813	33
1781772	1883	570	11	357	5
6610	79619	17219	225	11977	133
763045	699	228	8	212	7
2976791	4229	1034	22	790	14
1063043	57361	3867	62	1913	33
1467920	5163	682	17	512	13
4418665	884	285	6	122	3
6611	88439	21525	328	15573	176
1751183	891	249	9	182	5
6612	45809	12252	183	8231	100
4418525	1036	360	9	301	6
6576	157476	32603	386	23902	222
29721203	543	60	3	33	1
4428742	773	203	7	119	4
3560294	9986	1803	43	913	24
2379396	1832	709	6	57	3
275966	17495	3498	47	2303	25
5897845	2433	839	23	636	15
8121	284786	44890	461	31565	244
330174	40194	7861	75	3000	39
2825286	3504	832	19	655	14
928569	4613	1127	13	981	9
614220	27526	3839	55	3109	32
426201	2576	756	18	658	13
1427337	2007	606	14	422	11
1182402	8332	2262	29	2038	21
8122	145993	36044	310	24747	177
8577	112546	18377	264	12597	146
1326403	60587	12573	65	3140	39
1239965	4695	750	23	506	14
297288	54837	6122	97	4220	49
1311957	3408	763	10	429	5
1326431	6598	482	18	304	9
327911	39118	3391	56	1679	28
4899605	859	250	13	191	9
1584618	1081	247	10	236	9
4428864	332	50	2	50	2
664635	3593	973	19	422	13
308121	170661	20056	152	15074	85
420030	4687	1267	27	803	17
1438046	9040	913	20	789	15
635375	34169	5748	84	4971	57
4920175	297971	29973	209	22687	126
3891869	1429	415	17	183	10
272951	933	182	10	109	6
4481721	867	270	9	181	4
1347029	505	73	3	73	3
1756675	302	60	3	44	2
905830	21905	3248	71	1936	36
1569265	1105	227	9	146	5
1140171	91172	6344	36	1037	14
1231509	31425	3485	35	1853	19
3228287	504	69	4	52	3
1756701	744	117	6	49	3
490927	18519	2816	64	1404	31
445861	35281	8145	61	1918	31
165323	5442	2074	46	1275	25
1070779	23749	6831	43	2344	14
1225381	840	216	2	184	1
6299440	67078	8253	59	4967	30
407078	17275	2544	53	1427	35
605386	9647	1583	38	772	16
272581	9755	1712	37	1121	24
12663	496735	63992	489	47313	268
407613	10533	1498	29	1299	20
1330654	30602	4882	66	3687	45
2446514	35434	3574	41	2602	22
1494044	7514	2179	43	1758	32
399875	17884	4267	45	2661	21
3780699	6050	1391	32	804	22
1490108	4596	959	24	358	11
1098181	10748	1465	21	1000	12
4482670	474	117	7	52	3
634863	20390	6136	71	3892	46
1465593	8094	1330	34	1081	27
5674636	5315	926	16	810	10
4339018	1230	204	6	173	4
1465763	8092	1593	28	1200	16
592763	32375	3531	59	2888	41
1125514	19481	3346	46	2739	29
68423	9842	1181	36	655	14
1465775	4221	971	18	803	12
1756733	224	27	1	27	1
1802713	1248	205	4	205	4
1292050	7381	1292	26	989	19
4483756	481	108	4	108	4
1781809	1624	534	12	213	7
4334210	519	124	5	69	4
4438654	1174	340	5	150	4
1785577	463	75	4	58	3
445854	3275	847	21	357	7
19333610	31461	1785	12	1581	4
494560	10806	2432	30	1910	18
423762	14949	2588	44	1561	29
13864	177406	25276	221	15294	114
2662208	1449	243	8	232	7
957315	1097	267	10	180	4
1467618	4178	641	16	574	12
330264	21973	5757	59	4540	31
760201	9392	2574	35	1083	16
15049	67822	18123	250	11673	146
449874	61207	6918	78	4495	42
2396629	3341	974	20	693	9
16156	78313	19526	249	11392	124
1809086	22808	2779	50	1548	30
327892	100002	10838	100	2501	41
1752304	1686	606	11	432	5
2499067	1663	328	14	294	12
1173884	2993	859	25	622	16
774364	12157	2731	43	856	16
3769020	395	52	3	25	1
2216960	8251	2289	19	2038	11
4243215	11561	834	16	656	12
854680	8188	1290	30	769	17
20297793	182406	26025	311	19660	180
288178	57286	7524	83	4995	45
2057861	2028	266	9	150	5
1403645	4028	1185	17	972	10
2499091	858	333	8	333	8
3718438	307	45	3	34	2
38204135	7549	1048	17	602	11
149579	25485	6862	50	5487	29
1413127	23825	3016	50	2198	36
190024	57944	9496	100	4251	51
1502656	10999	1948	20	780	10
3555829	1696	562	14	451	11
1467965	2718	473	12	439	10
339827	17544	2288	47	1313	23
1530720	1006	157	7	157	7
2057912	633	93	6	79	5
1465755	9569	1543	36	1022	22
1515505	26833	3372	46	2696	28
2833251	483	129	4	110	3
1217316	14999	2932	65	1954	34
449982	103681	7816	83	5842	51
190029	10591	1074	29	724	17
2265746	54816	13523	45	13348	37
8802088	29442	8484	17	7662	9
329594	10025	1359	19	893	10
1500453	2207	536	16	493	13
1316633	10946	1230	32	909	19
32641	98542	11627	107	9233	62
1219647	142644	9822	51	1968	19
27170	272380	69780	170	20130	72
23408886	188158	39607	294	22525	146
628252	24096	2774	58	1978	33
288121	4354	936	28	454	15
3185450	0	0	0	0	0
3717497	178989	3852	34	1792	18
1915180	1025	100	5	83	4
1851662	4952	1479	25	666	16
12287479	109173	10972	135	8037	68
429833	407504	48964	271	39204	158
4484375	13814	5857	17	3228	11
1497643	18921	7451	28	3698	18
1497681	3228	875	20	411	13
