page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
2813471	Q662721	639	608	829
8999841	Q5120219	79	69	2402
25307430	Q8043287	10	3	613
43330672	Q18148267	13	0	286
36600222	Q4587541	19	13	169
22004691	Q4567524	224	190	331
14722869	Q4585500	193	178	434
6728332	Q6160119	70	22	1202
637374	Q3531336	473	407	12567
18737023	Q4603046	153	141	845
5922833	Q2874471	162	56	852
16025466	Q4594552	180	166	1162
44407344	Q18637819	7	2	132
20602726	Q4760939	100	86	1496
1037590	Q3180317	457	384	8745
44391496	Q18619067	21	13	194
4436760	Q5170398	19	16	483
1345171	Q6591130	223	200	14557
674055	Q10306813	479	102	31053
44034847	Q18204642	51	0	2212
1249062	Q715572	572	513	32911
30947551	Q7151555	44	32	109
30297957	Q4621572	182	167	1120
43059331	Q17507602	99	0	1316
14576475	Q7923107	119	107	372
30430893	Q4597151	31	29	129
35649931	Q3643487	116	98	913
43768200	Q18044024	11	5	642
53471639	Q28939695	75	64	374
1439429	Q5066181	150	133	1271
17155306	Q3702263	233	206	32575
11281018	Q4599898	181	169	1766
2317530	Q2441031	671	622	1839
47881636	Q21067363	71	56	440
8792506	Q2906885	200	174	367
18732250	Q2655394	155	144	398
44517817	Q18630803	5	0	217
206812	Q612736	1152	215	14886
30941427	Q6847250	4	1	127
16710742	Q4581564	116	111	405
21941859	Q4565772	13	9	261
14877891	Q2664683	223	198	261
30873854	Q1566936	706	670	1792
10769447	Q4600337	154	147	1174
44471925	Q18631900	8	3	125
5134674	Q2915664	423	328	2476
2782778	Q1984308	328	255	620
44963081	Q19665736	95	89	962
36980746	Q6173732	158	105	4864
44044546	Q18204651	145	0	1506
21413830	Q2285378	183	164	472
43444503	Q17465909	71	59	199
47940620	Q21078110	8	2	336
592763	Q1333547	1047	876	19037
10953149	Q434766	1443	604	53786
19914110	Q4586953	133	119	610
19504025	Q4590584	193	174	950
39235976	Q14918212	108	95	1302
22526286	Q4912035	482	259	2624
5338272	Q797859	231	225	462
53321069	Q29097409	97	92	245
16777942	Q4580357	118	107	376
37360708	Q14918172	119	100	40202
40548819	Q14950988	16	12	244
3493040	Q3260250	168	151	720
24805437	Q4593928	35	30	120
