page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
12536810	Q4583739	155	137	346
43726417	Q18159173	17	10	131
38330112	Q12110321	102	82	1857
52069599	Q28448365	150	140	6836
35641769	Q3643703	15	12	448
24235848	Q5524055	99	85	558
38721339	Q13578246	186	155	703
20473174	Q4577699	134	121	503
7717292	Q7248321	368	187	1772
40648692	Q14950817	193	175	2809
11391448	Q4577312	211	201	1502
48336346	Q21191056	68	49	170
47664048	Q21066255	67	41	184
42511647	Q16731618	70	64	225
48416582	Q22096933	181	164	4639
44473808	Q18702217	107	96	1733
10646701	Q2909260	140	128	360
21087036	Q4574659	166	156	295
1028889	Q6460625	141	124	1625
5828449	Q6846255	262	208	1030
23890510	Q16067977	6	2	126
17323746	Q4576554	168	154	829
14404292	Q4956949	155	109	831
21064400	Q4575122	173	155	613
15123292	Q2787391	191	170	205
25423937	Q4704607	47	14	301
10918196	Q4588683	137	126	565
2245386	Q1758625	274	201	6342
24089560	Q4001221	85	27	568
8780723	Q2659015	199	175	334
7152305	Q2777562	227	199	3809
15765358	Q2429394	187	172	346
46714063	Q19957850	46	26	154
30878765	Q4932452	3	1	79
5613027	Q4572374	427	252	837
47543840	Q20985272	38	33	159
23871662	Q5441156	4	3	116
37802317	Q6592415	87	0	1285
40512611	Q15997755	1	0	90
27738029	Q6214922	9	4	262
49485593	Q23017201	1	0	123
8712761	Q4602630	228	200	851
20872677	Q4613553	176	162	1213
40462938	Q14951002	3	1	106
26547495	Q7443572	153	115	781
43768888	Q16905685	97	76	628
34235362	Q4625852	189	175	1768
9300444	Q4585399	227	201	521
25751728	Q4617056	183	167	1410
760201	Q950311	972	882	3879
2637967	Q3934215	121	98	568
21050584	Q4614450	260	227	3940
15765353	Q2427882	181	169	230
1405662	Q6846444	218	209	581
14609752	Q4594087	198	186	596
7303229	Q5999304	78	73	366
2657614	Q526874	273	221	20097
10529390	Q6788909	20	2	227
43312305	Q17508873	95	3	298
44511742	Q18619062	4	2	913
11364413	Q4597893	115	111	853
14908721	Q4597516	164	154	859
44459125	Q18589050	16	10	159
11283348	Q4584410	160	148	1037
26565584	Q5179606	319	286	1903
764618	Q726211	778	664	9765
11367959	Q4651570	33	0	159
3495504	Q3714932	678	378	5679
51232157	Q26212494	34	22	169
2529847	Q549008	740	716	1552
17778417	Q2881069	112	106	261
7096827	Q6758482	61	46	387
18589208	Q2789064	136	126	306
437210	Q3516981	44	5	5613
22262535	Q7703268	42	32	2277
5834657	Q4565237	317	210	416
17643228	Q16950241	131	117	573
43760608	Q18001557	9	4	85
44403844	Q18619618	12	8	169
2367327	Q534345	1458	1369	3692
43676681	Q17627771	36	21	155
44471821	Q18749089	6	2	130
44700773	Q18630757	22	11	144
43726878	Q17859774	5	2	217
3769406	Q6274194	143	125	789
3989068	Q7972151	186	170	514
2658758	Q264598	171	157	1776
51445302	Q26923357	2	1	154
9838573	Q4661826	65	49	519
21321417	Q2655752	145	137	203
43736688	Q18157967	21	18	207
21473852	Q2277772	41	37	129
47725124	Q6384598	25	21	266
1586003	Q4590025	297	250	3189
36475888	Q5046967	19	0	189
751354	Q362360	791	729	3388
44430518	Q18645837	40	25	175
46477609	Q19865166	0	0	56
1584526	Q617175	275	242	3606
51860966	Q27107120	87	74	510
10958255	Q4760356	23	18	311
15597028	Q4610645	180	166	1082
22901173	Q6119931	11	8	236
2487165	Q773697	280	253	589
28008167	Q14950121	6	4	152
8257022	Q4585195	324	272	945
3610130	Q5106983	115	54	453
53470681	Q28939738	81	75	562
48338036	Q21262087	5	1	195
20898602	Q4614607	234	207	1387
16023821	Q4589561	145	133	806
1405712	Q5210374	191	171	1164
24598370	Q5331770	17	3	148
449874	Q952676	1000	851	20351
25331969	Q4601138	27	22	83
190024	Q1374361	900	800	18092
15991313	Q2879535	134	116	369
11366592	Q1994198	402	257	1004
33691872	Q6163664	8	1	195
11389879	Q4592841	124	120	773
