talk_page_id	talk_revision_id	talk_page_title	talk_is_archive	art_page_id	art_revision_id	art_is_redirect	importance_rating
44739232	702258271	2015_NFL_season	0	38464942	777335028	0	Top
49217534	778077757	2017_NFL_Draft	0	49054980	778391363	0	Top
6370724	773252036	Herb_Adderley	0	30873854	773252034	0	Top
2175015	742011018	AFL–NFL_merger	0	453767	766616644	0	Top
1791955	757387854	Troy_Aikman	0	5531401	778389001	0	Top
239535	743406414	All-America_Football_Conference	0	73669	778195182	0	Top
4721494	759172513	George_Allen_(American_football_coach)	0	1167973	778382441	0	Top
2309353	731686827	Marcus_Allen	0	918363	778424312	0	Top
6068861	705564168	Lance_Alworth	0	330810	776877986	0	Top
154728	760913420	American_Football_League	0	2357	778433592	0	Top
6499883	733322005	Morten_Andersen	0	559565	775020107	0	Top
615933	763744918	Arizona_Cardinals	0	2102	777857703	0	Top
5957346	697775076	Doug_Atkins	0	1497619	773372740	0	Top
1194436	763989814	Atlanta_Falcons	0	2103	778382405	0	Top
6629047	662908226	Steve_Atwater	0	1306406	768052584	0	Top
9136293	684025632	Red_Badgro	0	1785665	766190358	0	Top
5002	619027121	Baltimore_Ravens	0	4293	778405827	0	Top
6471057	706064198	Lem_Barney	0	1494073	775632650	0	Top
5774311	734184166	Cliff_Battles	0	2825367	771350057	0	Top
6401097	757494492	Sammy_Baugh	0	735304	776607688	0	Top
5774345	743927157	Maxie_Baughan	0	4244769	778081143	0	Top
6360946	662574418	Chuck_Bednarik	0	493658	775717460	0	Top
1898402	763989385	Bill_Belichick	0	648835	778210144	0	Top
5815567	583025679	Bert_Bell	0	4892	777381593	0	Top
6334948	747905330	Bobby_Bell	0	1494061	775087849	0	Top
6318948	762416588	Raymond_Berry	0	385656	778432904	0	Top
6407032	688344459	Elvin_Bethea	0	1469126	745040072	0	Top
10594859	699244685	Charles_Bidwill	0	1821755	756566040	0	Top
2309344	753983960	Fred_Biletnikoff	0	854115	773221303	0	Top
6418104	762900672	George_Blanda	0	344221	777027651	0	Top
6487832	497463098	Mel_Blount	0	1578044	778403142	0	Top
702609	777390663	Terry_Bradshaw	0	60089	777390655	0	Top
1755910	778184036	Tom_Brady	0	339841	778225819	0	Top
4169870	755222494	Drew_Brees	0	657804	778256187	0	Top
6388074	711266935	Derrick_Brooks	0	1283357	777254176	0	Top
6330988	677826371	Bob_Brown_(offensive_lineman)	0	958349	743412994	0	Top
1461627	776659297	Jim_Brown	0	453868	778401778	0	Top
5780686	717846889	Paul_Brown	0	493703	778383125	0	Top
2731971	742005149	Rosey_Brown	0	715505	773327349	0	Top
2719816	735039377	Tim_Brown_(American_football)	0	854062	777029270	0	Top
2399560	687236105	Willie_Brown_(American_football)	0	1513243	778091881	0	Top
6854712	688344484	Buck_Buchanan	0	1497630	755034775	0	Top
724458	758912858	Buffalo_Bills	0	4315	778428917	0	Top
6505791	677200662	Nick_Buoniconti	0	1123783	774842081	0	Top
2015608	754424768	Dick_Butkus	0	668365	777605810	0	Top
10259355	738542506	Jack_Butler_(American_football)	0	8663312	764944292	0	Top
3212684	751574040	Earl_Campbell	0	1269279	778423719	0	Top
9147882	777823754	Tony_Canadeo	0	1781772	777823751	0	Top
1276357	750311893	Carolina_Panthers	0	6610	777948384	0	Top
763044	722712204	Joseph_Carr	0	763045	772345756	0	Top
6425695	681076816	Harry_Carson	0	2976791	775294162	0	Top
3700270	711266170	Cris_Carter	0	1063043	774514336	0	Top
2476896	740931437	Dave_Casper	0	1467920	775719114	0	Top
8736957	669224284	Guy_Chamberlin	0	4418665	754592490	0	Top
2174940	759874826	Chicago_Bears	0	6611	778109759	0	Top
1751409	775733584	Jack_Christiansen	0	1751183	778072296	0	Top
884696	755939758	Cincinnati_Bengals	0	6612	778071870	0	Top
10595550	777551902	Dutch_Clark	0	4418525	778058544	0	Top
1509265	771472776	Cleveland_Browns	0	6576	778435465	0	Top
