page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
2503	30712	8616	119	3591	24
170653	15142	2767	47	1930	21
149330	145860	45575	463	19287	62
20949522	42802	3849	79	2104	27
27327454	724	77	3	77	3
26614873	18077	3799	41	303	4
6677	66592	21799	176	16697	115
5043192	652527	131368	571	84910	105
325329	303571	48352	643	9426	86
181592	21178	3404	60	22	2
6675	65853	12064	213	9091	105
5253	67282	7518	134	6119	81
1743283	57587	6423	74	3540	24
27619138	22461	6118	108	4628	69
7959	179011	12334	210	8819	138
412326	8584	1299	32	649	20
21532163	14608	1202	18	1040	11
38443580	48376	15619	150	9674	79
6639133	39881	4135	99	565	15
9457	28795	1975	40	1642	27
56101	20029	6786	61	41	2
9317	341843	73949	848	8846	116
10263	52379	15679	212	10318	118
50419	0	0	0	0	0
12229	55240	7853	95	5066	75
15179	191322	34388	231	4216	30
19379	818224	49827	501	6414	54
359406	13735	6852	43	4244	14
519437	26460	4929	73	1008	16
3786577	2820	193	9	99	4
37570	24659	9121	199	5962	103
13456	41105	13559	282	8676	138
15933474	3215	383	8	343	5
2731583	1046596	180815	962	54384	140
13831	117320	8694	221	3421	56
75469	40641	6753	113	2818	51
294833	25015	4035	65	738	17
82533	43449	5846	127	3420	51
30876250	170114	10784	133	1299	6
59564	35044	5735	74	3191	30
16369	32386	3024	66	967	19
37973	64156	11920	173	5083	37
152967	10118	4567	66	1006	10
18949668	66185	7513	231	1803	42
38215222	186	33	2	33	2
26865	64168	8959	34	1174	10
18499	92278	17630	274	11749	103
356041	0	0	0	0	0
44421	46221	14920	237	10565	123
574823	16398	2596	33	1294	20
858189	1967	813	10	607	7
858178	1222	319	6	197	3
846759	2344	747	8	187	4
18048	33967	11962	115	10038	61
936385	25380	4595	61	3206	27
1234174	9474	619	19	535	14
4109538	1788	78	2	0	0
30247658	1423	117	5	88	4
16143	141249	15337	237	9393	97
21492751	361442	21656	284	4573	34
44269825	8561	81	3	59	1
557034	57618	9721	39	1219	4
444222	393612	42065	355	8154	44
19013	57974	10343	204	5309	76
20742	40491	8230	148	2770	29
21748	120145	21702	254	15756	111
21675	99998	5162	118	136	7
7327990	1656	410	5	377	4
30795	280134	10334	139	2109	51
182113	62757	18261	217	5936	86
44329046	234	98	4	50	1
24897	15595	1283	38	181	5
15299336	621	200	6	26	1
1183635	8217	798	13	523	6
46044	24664	3131	67	1758	30
8138285	490	48	3	37	2
23996	36840	5180	132	3793	87
23040	27241	6702	125	5048	73
24388	70387	8268	191	4401	71
258724	14670	2716	49	1899	34
55959	20044	4707	99	695	20
22986	62972	6623	132	4910	62
47595561	18	0	0	0	0
18800434	0	0	0	0	0
19205	968	248	4	57	2
6761596	1464	312	7	145	2
604028	0	0	0	0	0
147885	26745	5811	104	1373	32
450058	2812	597	12	300	4
206578	47165	12983	150	5426	58
24452	84708	24469	203	9022	35
1875908	3864	795	15	158	5
35391721	2616	555	18	169	5
21298487	3032	1683	13	267	2
25536	121665	33034	260	8023	69
56522	80434	17566	187	14228	100
51490	27240	2195	52	1305	22
25166191	56651	5766	123	4093	66
28167	8544	3735	58	893	19
1814	109214	11044	176	6855	72
904270	3891	382	16	19	1
39704	52816	10649	90	9052	50
765430	29369	12070	149	9419	88
26781	82852	16758	227	2026	23
28791	53543	14333	193	7719	65
28151	49723	16224	139	9586	78
278263	18524	2410	31	1612	14
29607	24985	2010	62	169	6
70322	29710	6428	111	2197	41
174607	25548	5659	58	2837	17
53781385	0	0	0	0	0
31644	292342	44174	411	22640	125
55791	53094	6749	88	656	23
36632381	8458	243	4	62	1
419342	160090	48010	274	16192	50
11019927	2276	473	17	144	7
18933007	0	0	0	0	0
12199	1192	247	4	12	1
11282	9340	1248	32	488	14
4689709	19997	5352	76	576	12
22315	94249	14110	162	9280	77
21296	725	233	2	0	0
31792	83428	13937	169	5662	33
25649	1608	263	6	16	1
29066482	0	0	0	0	0
4711662	9143	1089	16	412	10
11646	41985	8297	129	4427	51
15012	21799	6103	168	1822	40
95816	39801	5781	100	4881	74
25914154	115828	17577	320	4313	47
25704	19696	2816	30	837	13
37071	49817	9495	145	4736	51
30067	24659	2629	77	320	10
23490	31667	5298	102	4384	70
23239	13443	1772	20	548	2
20979	228223	43687	283	11027	53
40067623	6860	1268	36	370	13
21326	4733	332	6	0	0
172400	15660	6549	59	3437	16
23298	25186	4895	108	2517	56
725991	41404	5534	62	4130	27
101521	56261	3411	42	1733	11
66220	20587	3246	89	1864	35
16743	252007	32643	434	20297	137
28165911	22583	3150	66	711	16
11826	41352	6787	107	5089	53
