page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
40949138	Q1343802	462	42	2578
64648	Q184299	1164	39	15744
22090382	Q3486422	273	170	304
54089410	Q29994339	79	18	113
42034786	Q7551747	177	95	721
922044		11	1	39
41013041	Q15138316	5	1	498
28233370	Q2093665	377	56	1807
628223	Q471800	11	5	190
18787459	Q5356354	12	8	241
1087	Q789921	351	120	1617
29446792	Q13577140	196	5	7253
48683355	Q21664628	2	1	71
22651467	Q862279	34	8	8587
88366	Q47168	5508	281	30354
1384083	Q6810899	27	2	266
22076972	Q6627753	228	7	710
5848	Q1155216	313	136	2523
1238830	Q883548	10	5	93
3338616	Q6634252	62	2	294
40815333	Q17014335	5	2	4133
4307122	Q6508668	5	2	247
20085885	Q4858116	230	32	3220
20426681	Q1606807	27	9	197
36168523	Q16153250	98	24	481
25381527	Q6641247	0	0	11
3529716	Q5186892	15	2	189
14090689	Q2054630	23	20	153
36968102	Q1078003	281	5	5030
409252	Q1727972	126	69	602
11872334	Q3043498	1	1	80
22767801	Q8014666	33	1	376
31457987	Q5110354	5	0	210
1066405	Q883439	10	6	129
1238788	Q886610	10	6	100
14177002	Q827252	62	16	1284
49773521	Q23073454	3	0	133
15647252	Q1540345	394	104	249
41615563	Q16192050	1	0	99
3053307	Q7318903	84	51	190
613203	Q444889	11	6	154
33378164	Q1284349	52	0	2348
32343287	Q6779315	54	4	263
26634443	Q2619114	5	1	137
15996698	Q7423427	272	90	540
45077979	Q9392396	13	3	210
44061326	Q24933972	6	2	138
49498878	Q23073781	1	0	60
26865	Q839920	356	33	55460
18873895	Q5020998	553	142	378
516106	Q648464	418	54	7833
37246997	Q3322915	10	4	244
3150483	Q4809437	22	18	114
40496957	Q6087656	77	61	85
256749	Q219934	327	69	8135
32371296	Q16168618	0	0	55
32198773	Q7896914	29	7	190
23198325	Q5040716	4	0	135
7098350	Q1127750	52	23	241
22217796	Q7444278	47	10	212
1941640	Q7945346	7	0	113
1606223	Q774157	1	0	17
680729	Q113	120	41	3684
46452191	Q19817364	8	4	280
2668033	Q4810444	26	5	338
6846214	Q2625533	79	22	397
22510773	Q7162263	75	36	69
29165488	Q7174778	6	1	185
13363237	Q5197829	3	2	212
1621169	Q1970578	23	5	547
4880465	Q17099748	199	43	431
39490694	Q505871	859	190	3067
21509720	Q3862826	8	0	1012
24641819	Q5614299	55	46	154
1243942	Q716296	10	6	78
26086809	Q4791093	9	2	435
1651925	Q284454	662	83	13533
15754385	Q3859441	42	9	4859
5611380	Q3489125	5	0	199
3939799	Q15980733	41	4	257
261709	Q5557375	4606	173	50579
1003681	Q6066221	15	4	125
41853525	Q16073440	2	0	29
34164411	Q5342842	3	1	56
37251971	Q15980809	9	1	276
794927	Q217799	753	160	3674
40428571	Q16104730	118	51	223
4880701	Q7314713	54	25	153
38290547	Q4630156	5	3	169
36570012	Q6641088	1	0	19
2241417	Q434734	108	16	190
24336173	Q7373484	4	1	59
41816151	Q16066774	3	0	42
1108038	Q1074046	266	166	2084
