page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
40949138	Q1343802	462	42	3405
64648	Q184299	1164	39	19319
22090382	Q3486422	273	170	338
54089410	Q29994339	79	18	9
42034786	Q7551747	177	95	744
922044		11	1	39
41013041	Q15138316	5	1	495
28233370	Q2093665	377	56	1766
628223	Q471800	11	5	208
18787459	Q5356354	12	8	316
1087	Q789921	351	120	2141
29446792	Q13577140	196	5	7672
48683355	Q21664628	2	1	54
22651467	Q862279	34	8	8185
88366	Q47168	5508	281	39421
1384083	Q6810899	27	2	278
22076972	Q6627753	228	7	1019
5848	Q1155216	313	136	2871
1238830	Q883548	10	5	103
3338616	Q6634252	62	2	391
40815333	Q17014335	5	2	4241
4307122	Q6508668	5	2	247
20085885	Q4858116	230	32	3775
20426681	Q1606807	27	9	235
36168523	Q16153250	98	24	521
25381527	Q6641247	0	0	11
3529716	Q5186892	15	2	233
14090689	Q2054630	23	20	166
36968102	Q1078003	281	5	9014
409252	Q1727972	126	69	645
11872334	Q3043498	1	1	95
22767801	Q8014666	33	1	431
31457987	Q5110354	5	0	387
1066405	Q883439	10	6	152
1238788	Q886610	10	6	111
14177002	Q827252	62	16	1322
49773521	Q23073454	3	0	149
15647252	Q1540345	394	104	278
41615563	Q16192050	1	0	98
3053307	Q7318903	84	51	200
613203	Q444889	11	6	175
33378164	Q1284349	52	0	3866
32343287	Q6779315	54	4	286
26634443	Q2619114	5	1	148
15996698	Q7423427	272	90	520
45077979	Q9392396	13	3	247
44061326	Q24933972	6	2	158
49498878	Q23073781	1	0	70
26865	Q839920	356	33	60130
18873895	Q5020998	553	142	477
516106	Q648464	418	54	7872
37246997	Q3322915	10	4	255
3150483	Q4809437	22	18	153
40496957	Q6087656	77	61	123
256749	Q219934	327	69	9013
32371296	Q16168618	0	0	58
32198773	Q7896914	29	7	238
23198325	Q5040716	4	0	170
7098350	Q1127750	52	23	324
22217796	Q7444278	47	10	228
1941640	Q7945346	7	0	170
1606223	Q774157	1	0	17
680729	Q113	120	41	4247
46452191	Q19817364	8	4	308
2668033	Q4810444	26	5	336
6846214	Q2625533	79	22	506
22510773	Q7162263	75	36	81
29165488	Q7174778	6	1	210
13363237	Q5197829	3	2	226
1621169	Q1970578	23	5	663
4880465	Q17099748	199	43	632
39490694	Q505871	859	190	3472
21509720	Q3862826	8	0	1153
