talk_page_id	talk_revision_id	talk_page_title	talk_is_archive	art_page_id	art_revision_id	art_is_redirect	importance_rating
739658	774211604	African_National_Congress	0	2503	777134076	0	Top
171176	745604495	Authority	0	170653	777993787	0	Top
346804	778317324	Bharatiya_Janata_Party	0	149330	778317909	0	Top
838536	722267957	Bureaucracy	0	20949522	777071998	0	Top
42692113	764950394	Capitalist_peace	0	27327454	767979201	0	Top
26877730	758802215	Civil_Services_of_India	0	26614873	778490401	0	Top
6680	774170210	Classical_liberalism	0	6677	778162826	0	Top
101556	778255957	Hillary_Clinton	0	5043192	778526734	0	Top
1255975	775767025	Cold_War	0	325329	777406286	0	Top
648878	752043489	Competition	0	181592	774179016	0	Top
6692	764389082	Conservatism	0	6675	778125156	0	Top
224831	775445262	Constitution	0	5253	778490433	0	Top
3654206	727997514	Constitutional_Convention_(United_States)	0	1743283	778512374	0	Top
48225	698752363	Corporatism	0	27619138	778442537	0	Top
20289108	675881221	Deadline	0	597117	778316166	0	Top
5069881	774734548	Democracy	0	7959	778282012	0	Top
2438557	754073569	Democratic_peace_theory	0	412326	773613971	0	Top
28377320	748890688	Democratic_republic	0	21532163	777666294	0	Top
187268	762147864	Democratic_socialism	0	38443580	777492312	0	Top
7658867	727933762	Economy	0	6639133	777271197	0	Top
588494	625908164	Election	0	9457	778475995	0	Top
3214855	756759735	Ethnic_conflict	0	56101	777518717	0	Top
19491622	778280095	European_Union	0	9317	778447209	0	Top
8523113	677916895	Executive_(government)	0	10263	775293281	0	Top
50428	556901569	Form_of_government	0	50419	734505685	1	Top
13165	748725884	Forms_of_government	0	12229	778147810	0	Top
186719	775734704	Indira_Gandhi	0	15179	778513049	0	Top
92840	773206390	Mahatma_Gandhi	0	19379	778407809	0	Top
359415	759083661	General_Secretary_of_the_Communist_Party_of_the_Soviet_Union	0	359406	773204609	0	Top
2786531	772898967	Julia_Gillard	0	519437	777764877	0	Top
7646961	573043272	Gridlock_(politics)	0	3786577	772428563	0	Top
172325	705115766	Head_of_government	0	37570	774506221	0	Top
209763	768135896	Head_of_state	0	13456	776708878	0	Top
23687449	563545320	History_of_political_thought	0	15933474	774734018	0	Top
11129768	778531882	Adolf_Hitler	0	2731583	778289202	0	Top
48643	774712595	Human_rights	0	13831	778277943	0	Top
156088	767794697	Ideology	0	75469	777123567	0	Top
2023853	775008487	Institution	0	294833	775519182	0	Top
82544	719262290	International_relations	0	82533	778445146	0	Top
215939	730435487	Judiciary	0	59564	777740772	0	Top
906755	709845577	Justice	0	16369	777237386	0	Top
621204	776591905	John_Maynard_Keynes	0	37973	778070362	0	Top
506661	773411279	Kim_Dae-jung	0	152967	778073284	0	Top
21492488	774177297	Law	0	18949668	777651077	0	Top
38215262	745705957	Leader_of_the_Opposition_(Mauritius)	0	38215222	758545683	0	Top
161785	761019518	List_of_leaders_of_the_Soviet_Union	0	26865	778404687	0	Top
51615	760581028	Left-wing_politics	0	18499	778253242	0	Top
404585	755389662	Left–right_politics	0	356041	778031907	0	Top
790938	746232413	Legislature	0	44421	772917560	0	Top
625885	672834803	Legitimacy_(political)	0	574823	778288776	0	Top
1420264	520543584	Liberalism_in_Canada	0	858189	775858096	0	Top
2884908	520572950	Liberalism_in_Europe	0	858178	775860112	0	Top
21719058	661742511	Liberalism_in_the_United_Kingdom	0	846759	776337453	0	Top
63932	739330565	Libertarian_socialism	0	18048	774513637	0	Top
936386	763384009	Liberty	0	936385	777426866	0	Top
9357605	768894210	Limited_government	0	1234174	771826110	0	Top
16835648	713919669	List_of_political_science_journals	0	4109538	770663580	0	Top
30247659	739057958	List_of_the_most_recent_elections_by_country	0	30247658	776927935	0	Top
303809	777458125	John_Locke	0	16143	775435921	0	Top
21492541	776451381	Nelson_Mandela	0	21492751	777200116	0	Top
44609445	744352133	Mann_Ki_Baat	0	44269825	774901636	0	Top
4717723	756222160	Mayawati	0	557034	777512055	0	Top
499415	778524511	Narendra_Modi	0	444222	777827423	0	Top
164944	763216947	Monarchy	0	19013	778441867	0	Top
166579	764136210	Muslim_Brotherhood	0	20742	778303084	0	Top
21749	777008544	Nationalism	0	21748	778173525	0	Top
8898899	755201116	Natural_resource	0	21675	778183957	0	Top
8474075	705750935	Neoconservatism_and_paleoconservatism	0	7327990	777922319	0	Top
19357704	776473319	Thomas_Paine	0	30795	778426490	0	Top
973741	741734848	Parliamentary_system	0	182113	778488662	0	Top
44329057	777104048	List_of_people_involved_in_the_Fort_Lee_lane_closure_scandal	0	44329046	774894507	0	Top
181138	735398861	Persuasion	0	24897	776396834	0	Top
15299522	778450699	Political_alienation	0	15299336	772987898	0	Top
13138784	720279020	Political_culture	0	1183635	746506098	0	Top
46045	767894019	Political_economy	0	46044	778459069	0	Top
8183848	429926034	Political_Instability_Task_Force	0	8138285	761303805	0	Top
210416	717342565	Political_party	0	23996	778177682	0	Top
232020	730769899	Political_philosophy	0	23040	777187594	0	Top
9039754	711386455	Political_science	0	24388	777744603	0	Top
1744537	584725727	Political_system	0	258724	771024236	0	Top
237411	770142382	Politician	0	55959	776789211	0	Top
18716761	758977778	Politics	0	22986	778188156	0	Top
47595600	767112335	Politics_and_technology	0	47595561	774590073	0	Top
42283275	600850185	Politics_of_Ingushetia	0	18800434	621960066	1	Top
17862405	745664777	Politics_of_Mauritius	0	19205	767840660	0	Top
6783729	700250528	Politics_of_South_Sudan	0	6761596	778313213	0	Top
1887782	466939457	Power_(politics)	0	604028	522529726	1	Top
167548	767623963	Power_(social_and_political)	0	147885	777535099	0	Top
20359020	745665516	President_of_Mauritius	0	450058	760111066	0	Top
679296	778328481	Presidential_system	0	206578	778325860	0	Top
654043	773633320	Prime_Minister_of_India	0	24452	778300670	0	Top
20358967	745665480	Prime_Minister_of_Mauritius	0	1875908	761526988	0	Top
43813599	643396046	Public_interest_law	0	35391721	755090230	0	Top
21332110	744151792	Andry_Rajoelina	0	21298487	777175825	0	Top
4850889	773067517	Republic	0	25536	778352128	0	Top
210548	778208898	Right-wing_politics	0	56522	777968354	0	Top
1685698	776904795	Rights	0	51490	770282420	0	Top
232252	719777591	Rule_of_law	0	25166191	778251113	0	Top
1746775	666332781	Sejm	0	28167	776945051	0	Top
2214	765537388	Adam_Smith	0	1814	776824843	0	Top
5440362	743207636	Social_commentary	0	904270	777281116	0	Top
146749	776062200	Social_contract	0	39704	775858675	0	Top
2725633	728874662	Social_liberalism	0	765430	777625922	0	Top
27920	770172903	Social_science	0	26781	778206930	0	Top
23640448	766153095	Sovereignty	0	28791	776448540	0	Top
425147	702031094	State_(polity)	0	28151	777701320	0	Top
606308	702988429	State_of_nature	0	278263	778333947	0	Top
2586972	707228082	Strategy	0	29607	771035411	0	Top
246696	764771388	Suffrage	0	70322	777736769	0	Top
405590	774870454	Supply-side_economics	0	174607	777149138	0	Top
53781390	775497029	Swarna_Bharat_Party	0	53781385	777281363	0	Top
31681	778519642	United_States_Constitution	0	31644	777308344	0	Top
669569	737097441	Voting_Rights_Act_of_1965	0	55791	775246456	0	Top
36632679	719616979	Why_Nations_Fail	0	36632381	778436303	0	Top
2921392	778491896	David_Cameron	0	419342	778508523	0	High
11027235	621194450	Political_alliance	0	11019927	755510669	0	High
4465	778163199	Liberal_Democrats_(UK)	0	18933007	778518987	0	High
22905202	698354322	Politics_of_Guyana	0	12199	768343800	0	High
11340	754400504	Frédéric_Bastiat	0	11282	776825065	0	High
16335	777069406	John_Howard	0	4689709	777069402	0	High
22806	777506319	Oligarchy	0	22315	777505808	0	High
22905373	504187597	Politics_of_Namibia	0	21296	772987264	0	High
32322	762464361	Utilitarianism	0	31792	778478406	0	High
22905390	747337383	Politics_of_Rwanda	0	25649	778240682	0	High
32562	776844994	Electoral_system	0	29066482	778482924	0	High
36930	769394023	Politics_of_Australia	0	4711662	778371509	0	High
11647	775761899	Friedrich_Hayek	0	11646	778085538	0	High
79946	765267129	Libertarian_Party_(United_States)	0	32044	778078171	0	High
15013	775512594	Islamism	0	15012	778373425	0	High
95822	749031476	Direct_democracy	0	95816	778271236	0	High
49289	778088939	Coup_d'état	0	25914154	775892178	0	High
48776	749840918	Politics_of_Russia	0	25704	774554540	0	High
37224	774339757	Civil_and_political_rights	0	37071	777322776	0	High
42973	707215968	Tradition	0	30067	777048937	0	High
23489	776312395	Political_spectrum	0	23490	776940724	0	High
80747	774840562	Politics_of_China	0	23239	777768340	0	High
82970	778456033	Mikhail_Gorbachev	0	20979	778063452	0	High
934842	636674313	Exploitation_of_labour	0	40067623	778456670	0	High
5351	777824657	List_of_sovereign_states	0	68253	778044816	0	High
146536	717851204	Politics_of_Nepal	0	21326	773218347	0	High
2757342	773638749	Federated_state	0	172400	777348391	0	High
23910	767184328	Proportional_representation	0	23298	777218788	0	High
31619	758693454	The_Wealth_of_Nations	0	725991	778436866	0	High
101522	747991344	The_Prince	0	101521	777643978	0	High
66233	772599698	Political_corruption	0	66220	775231758	0	High
17456	778350685	Karl_Marx	0	16743	778350673	0	High
43263	754600929	Diplomacy	0	28165911	778519509	0	High
48890	762475855	Free_market	0	11826	774388618	0	High
12599	685624308	Georg_Wilhelm_Friedrich_Hegel	0	12598	778466444	0	High
76766	776340787	Jean_Chrétien	0	75626	778437343	0	High
5710	768400134	Collectivism	0	5708	777405739	0	High
31681	778519642	United_States_Constitution	0	31644	777308344	0	High
64947	749840915	Politics_of_Cambodia	0	5431	774555600	0	High
106394	644794262	Politics_of_Canada	0	5194	776802574	0	High
92358	769695257	Military	0	92357	777405488	0	High
20773	769452936	Menachem_Begin	0	20767	772500923	0	High
23079053	639111936	List_of_social_and_political_philosophers	0	23051894	761537981	0	High
3200	768520327	Augusto_Pinochet	0	18933396	777970066	0	High
66552	775768470	Republican_Party_(United_States)	0	32070	778171363	0	High
10206	756401819	Empire	0	10158	777685300	0	High
149771	465397271	Politics_of_Mexico	0	19225	778081453	0	High
20944	776738229	Minarchism	0	18933136	764651324	0	High
59505	766761601	Niccolò_Machiavelli	0	21444	778280149	0	High
2762134	681651202	Bureaucrat	0	266502	776593168	0	High
148562	465397251	Politics_of_the_Republic_of_Ireland	0	14677	774553798	0	High
170908	766545866	Constitutional_monarchy	0	5649	778282140	0	High
39397	774954735	Plurality_voting	0	10880	776636588	0	High
59520	760540910	Legislation	0	51913	778465513	0	High
133705	734149195	Politics_of_Austria	0	67635	766128277	0	High
1447712	749030786	Elections_by_country	0	23612780	773740276	0	High
2543677	695662716	Civil_service	0	160793	777397069	0	High
24996	771856582	Parliament	0	24406	778437937	0	High
27733	738060311	Secularism	0	27113	778295888	0	High
42122	739626027	Ethnic_nationalism	0	40362569	776931885	0	High
44620	582210453	Homeland	0	13920	768847691	0	High
187300	775422185	Dictatorship	0	9033	778436276	0	High
33973	718954653	Westminster_system	0	33782	776964097	0	High
151787	735417322	Politics_of_Morocco	0	19295	774099523	0	High
133840	611986874	Politics_of_Ukraine	0	31828	770256887	0	High
42144	760919369	Revolution	0	25964	765527370	0	High
172565	764104805	Nazi_Party	0	21736	778498451	0	High
152684	732875984	John_Rawls	0	123612	778329473	0	High
651839	585277935	Politics_of_Malta	0	19141	775885091	0	High
8770557	770549774	Health_policy	0	8695082	777086056	0	High
187399	763430691	Politics_of_the_Republic_of_China	0	30091	777293062	0	High
205640	672262754	Politics_of_Fiji	0	54575	760220470	0	High
