page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
21456934	Q4790730	17	17	144
17877119	Q6960644	266	266	166
32929126	Q3914412	82	33	169
39034318	Q16007780	2	1	44
22479174	Q6727765	14	14	115
18486406	Q177205	14	8	699
10991302	Q360792	406	10	1989
2171572	Q333536	15	1	319
51452301	Q28134523	4	0	171
51798235	Q28332478	21	21	75
31023677	Q1883717	9	6	200
26260273	Q1345957	8	2	111
6172501	Q1335192	55	0	915
29698192	Q5108733	14	9	332
46373945	Q20668252	14	2	188
394990	Q471125	178	152	688
1090020	Q44270	702	227	17692
591223	Q34994	46	12	294
33192003	Q35662	71	63	186
7671790	Q2868087	39	1	237
17438647	Q6374729	129	129	81
3497764	Q521322	43	34	342
5419750	Q1200650	15	0	117
22166724	Q7226403	79	38	158
552828	Q188258	378	262	3829
11992484	Q4960374	5	1	124
347721	Q704886	585	3	984
18773476	Q6728318	204	200	117
2639275	Q329261	228	197	1953
49132466	Q22278446	1	1	116
27389051	Q4121511	88	19	158
47305137	Q25043458	94	80	315
1445211	Q582905	157	50	1044
43136716	Q17319106	2	0	96
12173321	Q1767190	86	10	595
33052968	Q5755180	8	5	178
17247023	Q3562131	122	121	81
5820225	Q1625699	2	2	68
46832893	Q4135431	3	0	266
21439412	Q6505763	17	17	70
34414	Q1774	2309	845	78075
21851412	Q6738563	0	0	57
10373644	Q6395592	3	2	48
27031017	Q726737	3	2	70
33287724	Q7820798	54	45	172
33397698	Q3565982	16	13	95
7252007	Q16017721	7	3	352
38731939	Q7061821	7	3	131
18771220	Q7800965	203	200	85
9703760	Q2066372	165	163	239
18752535	Q998778	182	182	86
38994162	Q17017297	6	5	231
21861625	Q6404758	0	0	86
31846074	Q7973529	6	2	384
6682851	Q7596232	10	4	89
27366662	Q2416950	85	19	76
6192957	Q1711861	151	14	945
1601816	Q972634	303	50	3606
44127257	Q18351462	5	3	296
17922872	Q10859355	223	230	88
1867135	Q902786	41	20	302
21983381	Q6635812	10	6	128
17958572	Q7563471	135	135	113
52518655	Q15838612	19	6	86
16193347	Q2757182	43	35	257
17542162	Q721610	37	12	138
28034868	Q4891207	0	0	76
37229824	Q7679187	2	1	51
30152835	Q2485249	7	1	143
27012836	Q5509011	0	0	169
33417970	Q2857826	34	32	160
1506332	Q779703	197	21	1054
26046192	Q3123769	259	235	169
16182508	Q3285211	54	54	135
21788008	Q520434	32	28	490
25458417	Q4831578	7	4	187
22787173	Q925904	67	62	220
56689	Q3894	3063	1924	21128
17049600	Q2846856	83	78	84
23492432	Q8072016	1	0	67
28139627	Q1574539	89	33	1471
48172564	Q9311502	3	1	63
9692701	Q3000418	76	46	216
1786759	Q1375825	155	127	432
417385	Q3854319	46	0	2603
21538512	Q1103496	7	2	118
9659444	Q1752285	37	16	314
17246042	Q3294582	122	121	119
6261457	Q891951	198	187	874
17958363	Q6959273	135	135	139
17786	Q2088379	274	82	2683
8913936	Q7395791	8	2	290
24880126	Q6933682	255	220	704
49116409	Q25550606	53	43	425
34167918	Q5026486	85	50	341
36621529	Q1706688	15	3	196
862486	Q5483896	1	0	98
40883644	Q1187666	1	1	124
20490228	Q5350556	2	2	153
17568270	Q4864966	267	266	205
17097386	Q1401503	73	52	750
21672001	Q5354499	1	0	132
2456557	Q2866681	10	5	404
50909509	Q24883274	77	4	312
22170558	Q3757267	2	0	50
26046142	Q3099836	267	235	177
39353443	Q699127	210	3	4786
405888	Q310574	75	33	3162
33210847	Q36374	192	174	142
38312978	Q4630394	70	68	320
9377	Q1435211	160	132	4548
26817560	Q15948863	194	44	278
30156581	Q2053564	68	32	212
27543557	Q6743475	2	0	120
5300212	Q704669	129	55	321
19452708	Q3502902	10	4	65
1273299	Q116524	27	23	149
884059	Q6637056	45	0	180
1896896	Q923018	375	71	511
35368994	Q5263862	7	6	110
18111878	Q5590226	6	6	99
556317	Q7333287	21	15	539
45004236	Q19576808	59	15	76
23392616	Q5262560	9	7	217
21276654	Q142708	11	1	234
12419508	Q1584207	57	16	300
12491027	Q1268301	22	9	191
22170988	Q3755916	2	1	108
5185404	Q972434	124	7	3159
32421381	Q7081735	1	1	68
42141378	Q16879318	34	27	95
203970	Q25247	543	45	19441
41383023	Q3242965	63	48	1108
3905506	Q614566	12	8	191
31151088	Q7368981	9	0	396
25120757	Q7561270	4	2	50
16998099	Q4668289	2	0	126
16140654	Q3487279	69	66	59
21662916	Q6542926	14	12	69
7787413	Q720502	71	12	297
32056006	Q4560844	2	1	137
17711102	Q781029	106	83	762
3819178	Q1655182	63	53	391
52593559	Q28406775	2	1	138
16891275	Q4247147	123	80	474
31098375	Q17012344	4	2	167
744723	Q1700787	79	14	1571
13515705	Q7425793	4	3	158
7013216	Q4858245	5	1	219
49133149	Q22097682	20	2	233
12968870	Q3088094	59	5	244
